Campylobacter ureolyticus	0.8724	0.9032	0.02560	1.203
Campylobacter coli	0.9206	0.9018	0.02593	0.7250
Campylobacter jejuni subsp. doylei	0.9198	0.9018	0.02595	0.6936
Campylobacter gracilis	0.8857	0.9028	0.02597	0.6585
Campylobacter corcagiensis	0.8649	0.9034	0.02530	1.522
Campylobacter upsaliensis	0.8982	0.9025	0.02612	0.1646
Campylobacter insulaenigrae	0.9186	0.9019	0.02597	0.6430
Campylobacter sputorum subsp. bubulus	0.8218	0.9047	0.02205	3.760
Campylobacter lari subsp. concheus	0.9172	0.9019	0.02600	0.5885
Campylobacter ornithocola	0.9153	0.9020	0.02603	0.5109
Campylobacter volucris	0.9125	0.9020	0.02607	0.4028
Campylobacter helveticus	0.8972	0.9025	0.02611	0.2030
Campylobacter curvus	0.8492	0.9039	0.02444	2.238
Campylobacter rectus	0.9026	0.9023	0.02613	0.01148
Campylobacter sputorum subsp. sputorum	0.8581	0.9036	0.02497	1.822
Campylobacter iguaniorum	0.9220	0.9018	0.02590	0.7799
Campylobacter subantarcticus	0.9168	0.9019	0.02601	0.5729
Campylobacter canadensis	0.8659	0.9034	0.02535	1.479
Campylobacter concisus	0.9149	0.9020	0.02604	0.4954
Campylobacter peloridis	0.9193	0.9018	0.02596	0.6741
Campylobacter hyointestinalis subsp. lawsonii	0.9117	0.9021	0.02608	0.3681
Campylobacter showae	0.8987	0.9024	0.02612	0.1417
Campylobacter pinnipediorum subsp. caledonicus	0.9161	0.9019	0.02602	0.5457
Campylobacter hominis	0.8650	0.9034	0.02531	1.517
Campylobacter fetus subsp. venerealis	0.9291	0.9015	0.02571	1.074
Campylobacter hyointestinalis subsp. hyointestinalis	0.9219	0.9018	0.02590	0.7761
Campylobacter fetus subsp. fetus	0.9161	0.9019	0.02602	0.5457
Campylobacter pinnipediorum subsp. pinnipediorum	0.9017	0.9024	0.02613	0.02679
Campylobacter cuniculorum	0.9120	0.9020	0.02607	0.3836
Campylobacter avium	0.8963	0.9025	0.02611	0.2375
Campylobacter hepaticus	0.9300	0.9015	0.02568	1.110
Campylobacter fetus subsp. testudinum	0.9289	0.9016	0.02572	1.061
Campylobacter lari subsp. lari	0.9190	0.9018	0.02597	0.6623
Campylobacter mucosalis	0.9189	0.9018	0.02597	0.6585
Campylobacter lanienae	0.9232	0.9017	0.02587	0.8311
