Carnobacterium divergens	0.9250	0.9533	0.0172	1.645
Carnobacterium funditum	0.9460	0.9509	0.01932	0.2536
Carnobacterium iners	0.9459	0.9509	0.01932	0.2588
Carnobacterium jeotgali	0.9605	0.9493	0.01906	0.5876
Carnobacterium mobile	0.9365	0.9520	0.01876	0.8262
Carnobacterium maltaromaticum	0.9319	0.9525	0.01826	1.128
Carnobacterium gallinarum	0.9351	0.9521	0.01862	0.9130
Carnobacterium inhibens subsp. gilichinskyi	0.9798	0.9472	0.01641	1.987
Carnobacterium pleistocenium	0.9673	0.9486	0.01846	1.013
Carnobacterium inhibens subsp. inhibens	0.9764	0.9476	0.01711	1.683
