Cellulomonas marina	0.9402	0.9455	0.00826	0.6416
Cellulomonas humilata	0.9471	0.9452	0.008329	0.2281
Cellulomonas denverensis	0.9481	0.9452	0.008315	0.3488
Cellulomonas flavigena	0.9488	0.9451	0.008302	0.4457
Cellulomonas oligotrophica	0.9538	0.9449	0.00812	1.096
Cellulomonas biazotea	0.9504	0.9451	0.00826	0.6416
Cellulomonas terrae	0.9557	0.9448	0.008009	1.361
Cellulomonas cellasea	0.9465	0.9452	0.008334	0.1560
Cellulomonas hominis	0.9450	0.9453	0.008338	0.03598
Cellulomonas carbonis	0.9306	0.9460	0.007664	2.009
Cellulomonas xylanilytica	0.9446	0.9453	0.008337	0.08396
Cellulomonas persica	0.9341	0.9458	0.007954	1.471
Cellulomonas fimi	0.9497	0.9451	0.008281	0.5555
Cellulomonas chitinilytica	0.9569	0.9448	0.007926	1.527
Cellulomonas uda	0.9481	0.9452	0.008315	0.3488
Cellulomonas iranensis	0.9397	0.9456	0.008244	0.7157
Cellulomonas gelida	0.9521	0.9450	0.008199	0.8660
Cellulomonas composti	0.9492	0.9451	0.008293	0.4944
Cellulomonas pakistanensis	0.9457	0.9453	0.008338	0.04797
Cellulomonas aerilata	0.9486	0.9451	0.008306	0.4214
Cellulomonas massiliensis	0.9404	0.9455	0.008266	0.6170
Cellulomonas soli	0.9214	0.9464	0.006405	3.903
