Chryseobacterium nakagawai	0.9441	0.9334	0.01073	0.9972
Chryseobacterium piscium	0.9322	0.9335	0.01078	0.1206
Chryseobacterium tructae	0.9393	0.9335	0.01076	0.5390
Chryseobacterium profundimaris	0.9284	0.9336	0.01076	0.4833
Chryseobacterium arachidiradicis	0.9310	0.9336	0.01077	0.2414
Chryseobacterium treverense	0.9185	0.9337	0.01067	1.425
Chryseobacterium ginsengiterrae	0.9227	0.9336	0.01072	1.017
Chryseobacterium piperi	0.9306	0.9336	0.01077	0.2786
Chryseobacterium caeni	0.9324	0.9335	0.01078	0.1020
Chryseobacterium nepalense	0.9357	0.9335	0.01077	0.2043
Chryseobacterium antarcticum	0.9178	0.9337	0.01066	1.492
Chryseobacterium bovis	0.9257	0.9336	0.01075	0.7349
Chryseobacterium gallinarum	0.9273	0.9336	0.01076	0.5855
Chryseobacterium palustre	0.9120	0.9337	0.01057	2.053
Chryseobacterium pallidum	0.9370	0.9335	0.01077	0.3250
Chryseobacterium luteum	0.9373	0.9335	0.01077	0.3528
Chryseobacterium anthropi	0.9111	0.9337	0.01055	2.142
Chryseobacterium arachidis	0.9323	0.9335	0.01078	0.1113
Chryseobacterium taiwanense	0.9344	0.9335	0.01078	0.08349
Chryseobacterium montanum	0.9268	0.9336	0.01076	0.6320
Chryseobacterium sediminis	0.9468	0.9334	0.01070	1.252
Chryseobacterium taihuense	0.9452	0.9334	0.01072	1.101
Chryseobacterium hominis	0.9424	0.9334	0.01074	0.8380
Chryseobacterium aquaticum	0.9385	0.9335	0.01077	0.4643
Chryseobacterium hagamense	0.9292	0.9336	0.01077	0.4085
Chryseobacterium yonginense	0.9109	0.9337	0.01054	2.163
Chryseobacterium molle	0.9293	0.9336	0.01077	0.3993
Chryseobacterium polytrichastri	0.9430	0.9334	0.01074	0.8939
Chryseobacterium hispalense	0.9376	0.9335	0.01077	0.3807
Chryseobacterium gleum	0.9419	0.9334	0.01075	0.7907
Chryseobacterium camelliae	0.9356	0.9335	0.01077	0.1950
Chryseobacterium koreense	0.9022	0.9338	0.01033	3.059
Chryseobacterium bernardetii	0.9455	0.9334	0.01071	1.130
Chryseobacterium solani	0.9342	0.9335	0.01078	0.06494
Chryseobacterium frigidum	0.8881	0.9340	0.009803	4.682
Chryseobacterium jeonii	0.9259	0.9336	0.01075	0.7163
Chryseobacterium daeguense	0.9355	0.9335	0.01077	0.1857
Chryseobacterium gambrini	0.9321	0.9335	0.01078	0.1299
Chryseobacterium wanjuense	0.9351	0.9335	0.01078	0.1484
Chryseobacterium chaponense	0.9235	0.9336	0.01073	0.9413
Chryseobacterium gregarium	0.9355	0.9335	0.01077	0.1857
Chryseobacterium formosense	0.9447	0.9334	0.01072	1.054
Chryseobacterium humi	0.9284	0.9336	0.01076	0.4833
Chryseobacterium marinum	0.9255	0.9336	0.01075	0.7535
Chryseobacterium psychrotolerans	0.9188	0.9337	0.01068	1.395
Chryseobacterium lactis	0.9513	0.9334	0.01063	1.684
Chryseobacterium aahli	0.9368	0.9335	0.01077	0.3064
Chryseobacterium soldanellicola	0.9402	0.9335	0.01076	0.6227
Chryseobacterium zeae	0.9388	0.9335	0.01076	0.4926
Chryseobacterium xinjiangense	0.9313	0.9336	0.01077	0.2136
Chryseobacterium contaminans	0.9422	0.9334	0.01074	0.8194
Chryseobacterium indoltheticum	0.9411	0.9335	0.01075	0.7070
Chryseobacterium balustinum	0.9301	0.9336	0.01077	0.3250
Chryseobacterium carnis	0.9217	0.9336	0.01071	1.111
Chryseobacterium rigui	0.9336	0.9335	0.01078	0.009276
Chryseobacterium piscicola	0.9362	0.9335	0.01077	0.2507
Chryseobacterium ginsenosidimutans	0.9416	0.9335	0.01075	0.7535
Chryseobacterium greenlandense	0.9277	0.9336	0.01076	0.5483
Chryseobacterium oleae	0.9400	0.9335	0.01076	0.6041
Chryseobacterium rhizosphaerae	0.9452	0.9334	0.01072	1.101
Chryseobacterium frigidisoli	0.9219	0.9336	0.01072	1.091
Chryseobacterium vietnamense	0.9492	0.9334	0.01067	1.481
Chryseobacterium endophyticum	0.9323	0.9335	0.01078	0.1113
Chryseobacterium hungaricum	0.9299	0.9336	0.01077	0.3435
Chryseobacterium taklimakanense	0.9087	0.9338	0.01050	2.390
Chryseobacterium oranimense	0.9435	0.9334	0.01073	0.9413
Chryseobacterium geocarposphaerae	0.9442	0.9334	0.01073	1.007
Chryseobacterium taeanense	0.9309	0.9336	0.01077	0.2507
Chryseobacterium flavum	0.9102	0.9338	0.01053	2.241
Chryseobacterium indologenes	0.9443	0.9334	0.01072	1.017
Chryseobacterium aquifrigidense	0.9420	0.9334	0.01074	0.8007
Chryseobacterium rhizoplanae	0.9493	0.9334	0.01066	1.492
Chryseobacterium jejuense	0.9476	0.9334	0.01069	1.328
Chryseobacterium lathyri	0.9369	0.9335	0.01077	0.3157
Chryseobacterium shigense	0.9402	0.9335	0.01076	0.6227
Chryseobacterium ureilyticum	0.9466	0.9334	0.01070	1.234
Chryseobacterium artocarpi	0.9400	0.9335	0.01076	0.6041
Chryseobacterium takakiae	0.9309	0.9336	0.01077	0.2507
Chryseobacterium daecheongense	0.9376	0.9335	0.01077	0.3807
Chryseobacterium halperniae	0.9284	0.9336	0.01076	0.4833
Chryseobacterium ginsengisoli	0.9304	0.9336	0.01077	0.2971
Chryseobacterium cucumeris	0.9422	0.9334	0.01074	0.8194
Chryseobacterium culicis	0.9428	0.9334	0.01074	0.8752
Chryseobacterium vrystaatense	0.9356	0.9335	0.01077	0.1950
Chryseobacterium arthrosphaerae	0.9389	0.9335	0.01076	0.5019
Chryseobacterium tenax	0.9142	0.9337	0.01061	1.838
Chryseobacterium hispanicum	0.9271	0.9336	0.01076	0.6041
Chryseobacterium carnipullorum	0.9407	0.9335	0.01075	0.6698
Chryseobacterium angstadtii	0.9384	0.9335	0.01077	0.4550
Chryseobacterium echinoideorum	0.9360	0.9335	0.01077	0.2321
Chryseobacterium reticulitermitis	0.9325	0.9335	0.01078	0.09276
Chryseobacterium lineare	0.9340	0.9335	0.01078	0.04638
Chryseobacterium defluvii	0.9381	0.9335	0.01077	0.4271
Chryseobacterium joostei	0.9393	0.9335	0.01076	0.5390
Chryseobacterium kwangjuense	0.9344	0.9335	0.01078	0.08349
Chryseobacterium solincola	0.9253	0.9336	0.01075	0.7721
Chryseobacterium soli	0.9390	0.9335	0.01076	0.5112
Chryseobacterium scophthalmum	0.9317	0.9335	0.01078	0.1670
Chryseobacterium xixisoli	0.9304	0.9336	0.01077	0.2971
Chryseobacterium haifense	0.9296	0.9336	0.01077	0.3714
Chryseobacterium viscerum	0.9535	0.9333	0.01060	1.906
Chryseobacterium elymi	0.9411	0.9335	0.01075	0.7070
Chryseobacterium shandongense	0.9447	0.9334	0.01072	1.054
Chryseobacterium oncorhynchi	0.9401	0.9335	0.01076	0.6134
Chryseobacterium taichungense	0.9362	0.9335	0.01077	0.2507
