Citrobacter murliniae	0.9763	0.9655	0.005907	1.828
Citrobacter rodentium	0.9558	0.9674	0.005783	2.006
Citrobacter pasteurii	0.9706	0.9660	0.006547	0.7026
Citrobacter amalonaticus	0.9643	0.9666	0.006645	0.3461
Citrobacter braakii	0.9770	0.9654	0.005786	2.005
Citrobacter europaeus	0.9647	0.9666	0.006657	0.2854
Citrobacter koseri	0.9652	0.9665	0.006668	0.1950
Citrobacter gillenii	0.9688	0.9662	0.006636	0.3918
Citrobacter werkmanii	0.9661	0.9664	0.006678	0.04492
Citrobacter farmeri	0.9634	0.9667	0.006611	0.4992
Citrobacter youngae	0.9692	0.9662	0.00662	0.4532
Citrobacter freundii	0.9555	0.9674	0.005727	2.078
