Clostridium scindens	0.7801	0.8116	0.03122	1.009
Clostridium aciditolerans	0.8409	0.8112	0.03123	0.9510
Clostridium novyi	0.8326	0.8113	0.03128	0.6809
Clostridium schirmacherense	0.8432	0.8112	0.03122	1.025
Clostridium straminisolvens	0.7936	0.8115	0.03129	0.5721
Clostridium haemolyticum	0.8327	0.8113	0.03128	0.6841
Clostridium sulfidigenes	0.8434	0.8112	0.03122	1.031
Clostridium beijerinckii	0.8490	0.8112	0.03118	1.212
Clostridium isatidis	0.8489	0.8112	0.03118	1.209
Clostridium hydrogeniformans	0.8297	0.8113	0.03129	0.5880
Clostridium xylanolyticum	0.7922	0.8115	0.03128	0.6170
Clostridium peptidivorans	0.8327	0.8113	0.03128	0.6841
Clostridium acetobutylicum	0.8279	0.8113	0.03129	0.5305
Clostridium acetireducens	0.8248	0.8113	0.03130	0.4313
Clostridium chromiireducens	0.8461	0.8112	0.03120	1.119
Clostridium butyricum	0.8444	0.8112	0.03121	1.064
Clostridium luticellarii	0.8172	0.8114	0.03132	0.1852
Clostridium akagii	0.8324	0.8113	0.03128	0.6746
Clostridium algoriphilum	0.8383	0.8112	0.03125	0.8672
Clostridium populeti	0.7987	0.8115	0.03130	0.4089
Clostridium clostridioforme	0.7752	0.8116	0.03119	1.167
Clostridium thermosuccinogenes	0.7705	0.8116	0.03116	1.319
Clostridium saccharogumia	0.7461	0.8118	0.03090	2.126
Clostridium cellulovorans	0.8419	0.8112	0.03123	0.9830
Clostridium argentinense	0.8446	0.8112	0.03121	1.070
Clostridium estertheticum subsp. estertheticum	0.8346	0.8113	0.03127	0.7451
Clostridium asparagiforme	0.7772	0.8116	0.03120	1.103
Clostridium bornimense	0.8389	0.8112	0.03125	0.8864
Clostridium lavalense	0.7813	0.8116	0.03123	0.9702
Clostridium subterminale	0.8399	0.8112	0.03124	0.9187
Clostridium carboxidivorans	0.8385	0.8112	0.03125	0.8736
Clostridium nexile	0.7876	0.8115	0.03126	0.7646
Clostridium indolis	0.7925	0.8115	0.03128	0.6074
Clostridium hiranonis	0.7762	0.8116	0.03120	1.135
Clostridium herbivorans	0.7736	0.8116	0.03118	1.219
