Cohnella nanjingensis	0.9332	0.9237	0.01004	0.9462
Cohnella suwonensis	0.9287	0.9239	0.01018	0.4715
Cohnella lupini	0.9334	0.9237	0.01003	0.9671
Cohnella boryungensis	0.9321	0.9238	0.01008	0.8234
Cohnella thailandensis	0.9107	0.9247	0.009806	1.428
Cohnella phaseoli	0.9308	0.9238	0.01013	0.6910
Cohnella soli	0.9254	0.9241	0.01023	0.1271
Cohnella ferri	0.9157	0.9245	0.01007	0.8739
Cohnella luojiensis	0.9241	0.9241	0.01023	0E+1
Cohnella thermotolerans	0.9236	0.9242	0.01023	0.05865
Cohnella yongneupensis	0.9283	0.9239	0.01019	0.4318
Cohnella hongkongensis	0.9231	0.9242	0.01023	0.1075
Cohnella xylanilytica	0.9328	0.9237	0.01006	0.9046
Cohnella formosensis	0.9342	0.9237	0.009995	1.051
Cohnella fontinalis	0.9179	0.9244	0.01014	0.6410
Cohnella damuensis	0.9273	0.9240	0.01021	0.3232
Cohnella arctica	0.9062	0.9249	0.009458	1.977
Cohnella lubricantis	0.9336	0.9237	0.01002	0.9880
Cohnella rhizosphaerae	0.9324	0.9238	0.01007	0.8540
Cohnella saccharovorans	0.9271	0.9240	0.01021	0.3036
Cohnella panacarvi	0.9210	0.9243	0.01021	0.3232
Cohnella terrae	0.8925	0.9256	0.007563	4.377
Cohnella cellulosilytica	0.9208	0.9243	0.01021	0.3428
