Comamonas denitrificans	0.9339	0.9413	0.01031	0.7177
Comamonas guangdongensis	0.9500	0.9404	0.01022	0.9393
Comamonas terrae	0.9447	0.9407	0.01040	0.3846
Comamonas zonglianii	0.9445	0.9407	0.01040	0.3654
Comamonas sediminis	0.9432	0.9408	0.01043	0.2301
Comamonas serinivorans	0.9321	0.9414	0.01023	0.9091
Comamonas badia	0.9082	0.9426	0.00705	4.879
Comamonas testosteroni	0.9507	0.9404	0.01018	1.012
Comamonas koreensis	0.9414	0.9409	0.01044	0.04789
Comamonas aquatica	0.9490	0.9405	0.01026	0.8285
Comamonas nitrativorans	0.9315	0.9414	0.01020	0.9706
Comamonas humi	0.9366	0.9411	0.01039	0.4331
Comamonas composti	0.9445	0.9407	0.01040	0.3654
Comamonas odontotermitis	0.9464	0.9406	0.01036	0.5598
Comamonas granuli	0.9341	0.9413	0.01032	0.6977
Comamonas phosphati	0.9546	0.9402	0.009929	1.450
Comamonas piscis	0.9373	0.9411	0.01040	0.3654
Comamonas terrigena	0.9461	0.9406	0.01037	0.5304
Comamonas jiangduensis	0.9532	0.9403	0.01003	1.286
Comamonas thiooxydans	0.9362	0.9412	0.01038	0.4817
