Desulfosporosinus acididurans	0.9171	0.9397	0.01479	1.528
Desulfosporosinus acidiphilus	0.9201	0.9393	0.01525	1.259
Desulfosporosinus youngiae	0.9441	0.9367	0.01625	0.4554
Desulfosporosinus orientis	0.9408	0.9370	0.01638	0.2320
Desulfosporosinus auripigmenti	0.9487	0.9361	0.01593	0.7910
Desulfosporosinus meridiei	0.9372	0.9374	0.01642	0.01218
Desulfosporosinus fructosivorans	0.9473	0.9363	0.01605	0.6854
Desulfosporosinus nitroreducens	0.9569	0.9352	0.01492	1.454
Desulfosporosinus burensis	0.9089	0.9406	0.01301	2.437
Desulfosporosinus hippei	0.9529	0.9357	0.01549	1.110
