Desulfotomaculum acetoxidans	0.7982	0.8327	0.02741	1.259
Desulfotomaculum thermosubterraneum	0.7852	0.8332	0.02678	1.792
Desulfotomaculum geothermicum	0.8206	0.8320	0.02801	0.4070
Desulfotomaculum halophilum	0.8211	0.8320	0.02802	0.3890
Desulfotomaculum profundi	0.8278	0.8318	0.02808	0.1425
Desulfotomaculum thermoacetoxidans	0.8218	0.8320	0.02803	0.3639
Desulfotomaculum nigrificans	0.8373	0.8315	0.02807	0.2066
Desulfotomaculum thermocisternum	0.8337	0.8316	0.02808	0.07479
Desulfotomaculum varum	0.8489	0.8311	0.02791	0.6378
Desulfotomaculum thermosapovorans	0.8366	0.8315	0.02807	0.1817
Desulfotomaculum kuznetsovii	0.8111	0.8323	0.02783	0.7618
Desulfotomaculum alcoholivorax	0.8391	0.8314	0.02805	0.2745
Desulfotomaculum ferrireducens	0.8416	0.8313	0.02803	0.3675
Desulfotomaculum peckii	0.8280	0.8318	0.02808	0.1353
Desulfotomaculum reducens	0.8609	0.8307	0.02757	1.095
Desulfotomaculum gibsoniae	0.8163	0.8321	0.02795	0.5653
Desulfotomaculum sapomandens	0.8199	0.8320	0.02800	0.4321
Desulfotomaculum aeronauticum	0.8474	0.8311	0.02794	0.5834
Desulfotomaculum australicum	0.8121	0.8323	0.02786	0.7251
Desulfotomaculum intricatum	0.7988	0.8327	0.02744	1.235
Desulfotomaculum thermobenzoicum subsp. thermosyntrophicum	0.8288	0.8317	0.02808	0.1033
Desulfotomaculum alkaliphilum	0.8212	0.8320	0.02802	0.3854
Desulfotomaculum hydrothermale	0.8722	0.8303	0.02709	1.547
Desulfotomaculum thermobenzoicum subsp. thermobenzoicum	0.8172	0.8321	0.02796	0.5329
Desulfotomaculum guttoideum	0.7528	0.8342	0.02412	3.375
Desulfotomaculum aquiferis	0.8768	0.8302	0.02685	1.736
Desulfotomaculum tongense	0.8419	0.8313	0.02802	0.3783
Desulfotomaculum putei	0.8847	0.8299	0.02636	2.079
Desulfotomaculum solfataricum	0.8252	0.8319	0.02806	0.2388
Desulfotomaculum carboxydivorans	0.8805	0.8301	0.02663	1.893
Desulfotomaculum defluvii	0.8683	0.8305	0.02728	1.386
Desulfotomaculum arcticum	0.8369	0.8315	0.02807	0.1924
