Desulfovibrio idahonensis	0.8480	0.8382	0.009358	1.047
Desulfovibrio fructosivorans	0.8261	0.8387	0.009295	1.356
Desulfovibrio aminophilus	0.8390	0.8384	0.009454	0.06347
Desulfovibrio aerotolerans	0.8496	0.8382	0.009324	1.223
Desulfovibrio salexigens	0.8479	0.8382	0.00936	1.036
Desulfovibrio arcticus	0.8445	0.8383	0.009416	0.6585
Desulfovibrio inopinatus	0.8404	0.8384	0.00945	0.2116
Desulfovibrio carbinolicus	0.8477	0.8382	0.009364	1.015
Desulfovibrio longus	0.8507	0.8382	0.009296	1.345
Desulfovibrio vietnamensis	0.8306	0.8386	0.00939	0.8520
Desulfovibrio giganteus	0.8441	0.8383	0.009421	0.6156
Desulfovibrio litoralis	0.8146	0.8389	0.008846	2.747
Desulfovibrio gigas	0.8358	0.8385	0.009447	0.2858
Desulfovibrio zosterae	0.8348	0.8385	0.00944	0.3919
Desulfovibrio gracilis	0.8438	0.8383	0.009424	0.5836
Desulfovibrio africanus	0.8406	0.8384	0.009449	0.2328
Desulfovibrio cuneatus	0.8100	0.8390	0.008576	3.382
Desulfovibrio sulfodismutans	0.8427	0.8383	0.009435	0.4663
Desulfovibrio alcoholivorans	0.8462	0.8383	0.009391	0.8412
Desulfovibrio indonesiensis	0.8469	0.8383	0.009379	0.9169
Desulfovibrio simplex	0.8429	0.8383	0.009433	0.4876
Desulfovibrio oxamicus	0.8475	0.8382	0.009368	0.9927
Desulfovibrio hydrothermalis	0.8413	0.8384	0.009445	0.3070
Desulfovibrio bastinii	0.8388	0.8384	0.009454	0.04231
Desulfovibrio carbinoliphilus	0.8405	0.8384	0.00945	0.2222
Desulfovibrio dechloracetivorans	0.8398	0.8384	0.009452	0.1481
Desulfovibrio vulgaris	0.8475	0.8382	0.009368	0.9927
Desulfovibrio legallii	0.8304	0.8386	0.009387	0.8735
Desulfovibrio magneticus	0.8429	0.8383	0.009433	0.4876
Desulfovibrio alaskensis	0.8267	0.8386	0.009311	1.278
Desulfovibrio ferrireducens	0.8347	0.8385	0.00944	0.4025
Desulfovibrio frigidus	0.8271	0.8386	0.00932	1.234
Desulfovibrio mexicanus	0.8378	0.8384	0.009454	0.06347
Desulfovibrio marrakechensis	0.8439	0.8383	0.009423	0.5943
Desulfovibrio intestinalis	0.8323	0.8385	0.009415	0.6585
Desulfovibrio psychrotolerans	0.8257	0.8387	0.009285	1.400
Desulfovibrio bizertensis	0.8168	0.8388	0.008956	2.456
Desulfovibrio burkinensis	0.8404	0.8384	0.00945	0.2116
Desulfovibrio tunisiensis	0.8449	0.8383	0.00941	0.7014
Desulfovibrio senezii	0.8423	0.8383	0.009438	0.4238
Desulfovibrio gabonensis	0.8492	0.8382	0.009333	1.179
Desulfovibrio africanus subsp. uniflagellum	0.8415	0.8384	0.009444	0.3283
Desulfovibrio paquesii	0.8393	0.8384	0.009453	0.09521
Desulfovibrio halophilus	0.8384	0.8384	0.009454	0E+2
Desulfovibrio butyratiphilus	0.8430	0.8383	0.009432	0.4983
Desulfovibrio oxyclinae	0.8243	0.8387	0.009245	1.558
Desulfovibrio biadhensis	0.8401	0.8384	0.009451	0.1799
Desulfovibrio longreachensis	0.8401	0.8384	0.009451	0.1799
Desulfovibrio piger	0.8360	0.8385	0.009448	0.2646
Desulfovibrio marinus	0.8424	0.8383	0.009438	0.4344
Desulfovibrio capillatus	0.8280	0.8386	0.009341	1.135
Desulfovibrio termitidis	0.8288	0.8386	0.009358	1.047
Desulfovibrio putealis	0.8569	0.8381	0.009093	2.068
