Dyadobacter psychrophilus	0.9500	0.9412	0.01430	0.6154
Dyadobacter soli	0.9446	0.9416	0.01447	0.2073
Dyadobacter arcticus	0.9308	0.9427	0.01414	0.8416
Dyadobacter alkalitolerans	0.9333	0.9425	0.01428	0.6443
Dyadobacter crusticola	0.9355	0.9423	0.01438	0.4729
Dyadobacter koreensis	0.9378	0.9421	0.01444	0.2978
Dyadobacter sediminis	0.9340	0.9424	0.01431	0.5870
Dyadobacter jejuensis	0.9415	0.9419	0.01449	0.02761
Dyadobacter beijingensis	0.9477	0.9414	0.01439	0.4378
Dyadobacter endophyticus	0.9552	0.9408	0.01397	1.031
Dyadobacter ginsengisoli	0.9455	0.9415	0.01445	0.2768
Dyadobacter hamtensis	0.9274	0.9429	0.01388	1.117
Dyadobacter tibetensis	0.9217	0.9434	0.01328	1.634
Dyadobacter fermentans	0.9806	0.9388	0.009244	4.522
