Dyella acidisoli	0.9583	0.9589	0.00451	0.1330
Dyella terrae	0.9576	0.9589	0.004498	0.2890
Dyella koreensis	0.9658	0.9583	0.004042	1.856
Dyella thiooxydans	0.9528	0.9593	0.004164	1.561
Dyella ginsengisoli	0.9622	0.9586	0.004407	0.8169
Dyella jiangningensis	0.9570	0.9590	0.004481	0.4463
Dyella jejuensis	0.9617	0.9586	0.004436	0.6988
Dyella flagellata	0.9596	0.9588	0.004507	0.1775
Dyella nitratireducens	0.9619	0.9586	0.004425	0.7458
Dyella japonica	0.9630	0.9585	0.00435	1.034
Dyella marensis	0.9619	0.9586	0.004425	0.7458
Dyella humi	0.9496	0.9595	0.003646	2.715
Dyella lipolytica	0.9592	0.9588	0.004511	0.08867
Dyella kyungheensis	0.9531	0.9593	0.004199	1.477
