Ensifer arboris	0.9786	0.9800	0.006685	0.2094
Ensifer adhaerens	0.9785	0.9800	0.006684	0.2244
Ensifer psoraleae	0.9785	0.9800	0.006684	0.2244
Ensifer kummerowiae	0.9752	0.9802	0.006589	0.7588
Ensifer medicae	0.9758	0.9801	0.006614	0.6501
Ensifer garamanticus	0.9712	0.9804	0.006331	1.453
Ensifer kostiensis	0.9801	0.9799	0.006693	0.02988
Ensifer meliloti	0.9678	0.9806	0.005972	2.143
Ensifer numidicus	0.9747	0.9802	0.006566	0.8376
Ensifer alkalisoli	0.9756	0.9802	0.006606	0.6963
Ensifer americanus	0.9872	0.9795	0.006441	1.195
Ensifer sojae	0.9838	0.9797	0.006622	0.6191
Ensifer morelensis	0.9762	0.9801	0.006629	0.5883
Ensifer glycinis	0.9890	0.9794	0.006296	1.525
Ensifer fredii	0.9847	0.9796	0.006585	0.7745
Ensifer sesbaniae	0.9790	0.9800	0.006689	0.1495
Ensifer saheli	0.9896	0.9793	0.00624	1.651
Ensifer mexicanus	0.9928	0.9791	0.005869	2.334
