Exiguobacterium mexicanum	0.9349	0.9398	0.0149	0.3289
Exiguobacterium antarcticum	0.9475	0.9389	0.01479	0.5815
Exiguobacterium aestuarii	0.9392	0.9395	0.01496	0.02005
Exiguobacterium alkaliphilum	0.9291	0.9402	0.01468	0.7561
Exiguobacterium acetylicum	0.9532	0.9385	0.01447	1.016
Exiguobacterium indicum	0.9470	0.9390	0.01481	0.5402
Exiguobacterium artemiae	0.9310	0.9401	0.01477	0.6161
Exiguobacterium oxidotolerans	0.9462	0.9390	0.01484	0.4852
Exiguobacterium profundum	0.9382	0.9396	0.01495	0.09365
Exiguobacterium aurantiacum	0.9342	0.9399	0.01489	0.3828
Exiguobacterium aquaticum	0.9211	0.9408	0.01407	1.400
Exiguobacterium enclense	0.9512	0.9387	0.01460	0.8562
Exiguobacterium sibiricum	0.9647	0.9377	0.01323	2.041
Exiguobacterium undae	0.9514	0.9386	0.01459	0.8773
Exiguobacterium marinum	0.9035	0.9421	0.01116	3.459
