Flavobacterium lacus	0.9037	0.9033	0.02747	0.01456
Flavobacterium collinsense	0.9117	0.9033	0.02746	0.3059
Flavobacterium yonginense	0.9166	0.9032	0.02744	0.4883
Flavobacterium endophyticum	0.8843	0.9034	0.02742	0.6966
Flavobacterium spartansii	0.9201	0.9032	0.02743	0.6161
Flavobacterium daemonense	0.9080	0.9033	0.02746	0.1712
Flavobacterium cheonhonense	0.9007	0.9033	0.02746	0.09468
Flavobacterium cloacae	0.8719	0.9035	0.02735	1.155
Flavobacterium ceti	0.8915	0.9034	0.02745	0.4335
Flavobacterium algicola	0.9180	0.9032	0.02744	0.5394
Flavobacterium araucananum	0.9192	0.9032	0.02744	0.5831
Flavobacterium hauense	0.8969	0.9033	0.02746	0.2331
Flavobacterium akiainvivens	0.8801	0.9035	0.02740	0.8540
Flavobacterium johnsoniae	0.9185	0.9032	0.02744	0.5576
Flavobacterium psychrolimnae	0.9254	0.9032	0.02741	0.8099
Flavobacterium maotaiense	0.9137	0.9032	0.02745	0.3825
Flavobacterium urumqiense	0.9145	0.9032	0.02745	0.4117
Flavobacterium mizutaii	0.7468	0.9043	0.0244	6.455
Flavobacterium fluvii	0.9182	0.9032	0.02744	0.5466
Flavobacterium gelidilacus	0.9040	0.9033	0.02747	0.02548
Flavobacterium suncheonense	0.8905	0.9034	0.02745	0.4699
Flavobacterium banpakuense	0.9158	0.9032	0.02745	0.4590
Flavobacterium seoulense	0.9186	0.9032	0.02744	0.5612
Flavobacterium xanthum	0.9062	0.9033	0.02746	0.1056
Flavobacterium sasangense	0.8958	0.9034	0.02746	0.2768
Flavobacterium nitrogenifigens	0.9139	0.9032	0.02745	0.3898
Flavobacterium suzhouense	0.9012	0.9033	0.02746	0.07647
Flavobacterium plurextorum	0.9245	0.9032	0.02741	0.7771
Flavobacterium omnivorum	0.9201	0.9032	0.02743	0.6161
Flavobacterium maris	0.9068	0.9033	0.02746	0.1275
Flavobacterium resistens	0.9235	0.9032	0.02742	0.7403
Flavobacterium micromati	0.9203	0.9032	0.02743	0.6234
Flavobacterium subsaxonicum	0.8951	0.9034	0.02746	0.3023
Flavobacterium gillisiae	0.9043	0.9033	0.02747	0.03640
Flavobacterium jejuense	0.8904	0.9034	0.02745	0.4736
Flavobacterium aquaticum	0.9007	0.9033	0.02746	0.09468
Flavobacterium saliperosum	0.8962	0.9034	0.02746	0.2622
Flavobacterium xueshanense	0.9226	0.9032	0.02742	0.7075
Flavobacterium ummariense	0.8591	0.9036	0.02723	1.634
Flavobacterium gilvum	0.9189	0.9032	0.02744	0.5722
Flavobacterium oncorhynchi	0.9250	0.9032	0.02741	0.7953
Flavobacterium paronense	0.9089	0.9033	0.02746	0.2039
Flavobacterium sinopsychrotolerans	0.9201	0.9032	0.02743	0.6161
Flavobacterium humicola	0.8958	0.9034	0.02746	0.2768
Flavobacterium soli	0.9103	0.9033	0.02746	0.2549
Flavobacterium fulvum	0.9013	0.9033	0.02746	0.07283
Flavobacterium defluvii	0.9175	0.9032	0.02744	0.5211
Flavobacterium arsenitoxidans	0.9095	0.9033	0.02746	0.2258
Flavobacterium vireti	0.8947	0.9034	0.02746	0.3168
Flavobacterium marinum	0.8760	0.9035	0.02738	1.004
Flavobacterium squillarum	0.8963	0.9034	0.02746	0.2586
Flavobacterium yanchengense	0.9027	0.9033	0.02747	0.02184
Flavobacterium oryzae	0.9149	0.9032	0.02745	0.4262
Flavobacterium dongtanense	0.8869	0.9034	0.02743	0.6015
Flavobacterium jumunjinense	0.8930	0.9034	0.02745	0.3789
Flavobacterium xinjiangense	0.9168	0.9032	0.02744	0.4956
Flavobacterium anatoliense	0.8604	0.9036	0.02725	1.585
Flavobacterium cutihirudinis	0.9259	0.9032	0.02741	0.8282
Flavobacterium enshiense	0.8936	0.9034	0.02745	0.3570
Flavobacterium luticocti	0.8884	0.9034	0.02744	0.5466
Flavobacterium indicum	0.8829	0.9034	0.02742	0.7476
Flavobacterium glaciei	0.9234	0.9032	0.02742	0.7367
Flavobacterium urocaniciphilum	0.8943	0.9034	0.02746	0.3314
Flavobacterium flevense	0.9178	0.9032	0.02744	0.5321
Flavobacterium compostarboris	0.9175	0.9032	0.02744	0.5211
Flavobacterium daejeonense	0.9133	0.9032	0.02745	0.3679
Flavobacterium antarcticum	0.9111	0.9033	0.02746	0.2840
Flavobacterium rivuli	0.8905	0.9034	0.02745	0.4699
Flavobacterium noncentrifugens	0.9059	0.9033	0.02746	0.09468
