Friedmanniella endophytica	0.9342	0.9624	0.005974	4.720
Friedmanniella okinawensis	0.9628	0.9592	0.01067	0.3374
Friedmanniella aerolata	0.9532	0.9603	0.01049	0.6768
Friedmanniella lacustris	0.9674	0.9587	0.01037	0.8390
Friedmanniella spumicola	0.9632	0.9592	0.01065	0.3756
Friedmanniella lucida	0.9628	0.9592	0.01067	0.3374
Friedmanniella flava	0.9674	0.9587	0.01037	0.8390
Friedmanniella capsulata	0.9506	0.9606	0.01026	0.9747
Friedmanniella antarctica	0.9683	0.9586	0.01028	0.9436
Friedmanniella luteola	0.9658	0.9589	0.01051	0.6565
