Fusobacterium ulcerans	0.9250	0.9271	0.02612	0.08040
Fusobacterium necrogenes	0.9180	0.9274	0.02603	0.3611
Fusobacterium perfoetens	0.8736	0.9299	0.02271	2.479
Fusobacterium canifelinum	0.9367	0.9264	0.02602	0.3958
Fusobacterium mortiferum	0.9086	0.9280	0.02574	0.7537
Fusobacterium russii	0.9228	0.9272	0.02610	0.1686
Fusobacterium nucleatum subsp. animalis	0.9407	0.9262	0.02591	0.5596
Fusobacterium nucleatum subsp. nucleatum	0.9347	0.9265	0.02606	0.3147
Fusobacterium gastrosuis	0.9246	0.9271	0.02612	0.09571
Fusobacterium equinum	0.9152	0.9276	0.02597	0.4775
Fusobacterium nucleatum subsp. fusiforme	0.9445	0.9260	0.02578	0.7176
Fusobacterium gonidiaformans	0.9165	0.9275	0.02600	0.4231
Fusobacterium varium	0.9059	0.9281	0.02562	0.8665
Fusobacterium nucleatum subsp. polymorphum	0.9435	0.9260	0.02581	0.6780
Fusobacterium necrophorum subsp. necrophorum	0.9076	0.9280	0.02570	0.7938
Fusobacterium necrophorum subsp. funduliforme	0.8869	0.9292	0.02426	1.744
Fusobacterium nucleatum subsp. vincentii	0.9763	0.9242	0.02323	2.243
Fusobacterium naviforme	0.9635	0.9249	0.02458	1.570
Fusobacterium simiae	0.9673	0.9247	0.02423	1.758
