Geobacillus uzenensis	0.9631	0.9638	0.01158	0.06045
Geobacillus kaustophilus	0.9669	0.9636	0.01155	0.2857
Geobacillus thermocatenulatus	0.9688	0.9634	0.01151	0.4692
Geobacillus caldoxylosilyticus	0.9435	0.9650	0.01034	2.079
Geobacillus toebii	0.9438	0.9650	0.01038	2.042
Geobacillus stearothermophilus	0.9670	0.9635	0.01155	0.3030
Geobacillus thermodenitrificans subsp. calidus	0.9733	0.9632	0.01132	0.8922
Geobacillus subterraneus subsp. aromaticivorans	0.9717	0.9633	0.01140	0.7368
Geobacillus thermoglucosidasius	0.9464	0.9648	0.01069	1.721
Geobacillus subterraneus	0.9707	0.9633	0.01144	0.6469
Geobacillus thermantarcticus	0.9479	0.9647	0.01084	1.550
Geobacillus vulcani	0.9777	0.9629	0.01101	1.344
Geobacillus icigianus	0.9771	0.9629	0.01106	1.284
Geobacillus lituanicus	0.9691	0.9634	0.01150	0.4957
Geobacillus gargensis	0.9717	0.9633	0.01140	0.7368
Geobacillus thermoleovorans	0.9684	0.9635	0.01152	0.4253
Geobacillus jurassicus	0.9566	0.9642	0.01144	0.6643
