Geobacter sulfurreducens subsp. ethanolicus	0.9196	0.9150	0.006946	0.6623
Geobacter anodireducens	0.9071	0.9157	0.006739	1.276
Geobacter soli	0.9085	0.9157	0.00683	1.054
Geobacter bemidjiensis	0.9058	0.9158	0.006639	1.506
Geobacter chapellei	0.9150	0.9153	0.007024	0.04271
Geobacter bremensis	0.9120	0.9155	0.006979	0.5015
Geobacter metallireducens	0.9242	0.9148	0.006685	1.406
Geobacter daltonii	0.9244	0.9148	0.006669	1.439
Geobacter pelophilus	0.9170	0.9152	0.007012	0.2567
Geobacter lovleyi	0.9211	0.9150	0.006882	0.8864
Geobacter uraniireducens	0.9163	0.9152	0.00702	0.1567
Geobacter luticola	0.9200	0.9150	0.006931	0.7214
Geobacter hydrogenophilus	0.9284	0.9146	0.006266	2.202
Geobacter sulfurreducens subsp. sulfurreducens	0.9103	0.9156	0.00692	0.7659
Geobacter thiogenes	0.9124	0.9154	0.00699	0.4292
Geobacter argillaceus	0.9102	0.9156	0.006916	0.7808
Geobacter grbiciae	0.9206	0.9150	0.006906	0.8109
Geobacter psychrophilus	0.9154	0.9153	0.007025	0.01423
Geobacter toluenoxydans	0.9021	0.9160	0.006257	2.222
