Geodermatophilus brasiliensis	0.9454	0.9529	0.01192	0.6292
Geodermatophilus saharensis	0.9629	0.9519	0.01177	0.9346
Geodermatophilus nigrescens	0.9591	0.9521	0.01193	0.5868
Geodermatophilus poikilotrophus	0.9645	0.9518	0.01168	1.087
Geodermatophilus pulveris	0.9575	0.9522	0.01198	0.4424
Geodermatophilus africanus	0.9647	0.9518	0.01167	1.105
Geodermatophilus terrae	0.9445	0.9529	0.01188	0.7071
Geodermatophilus dictyosporus	0.9512	0.9526	0.01204	0.1163
Geodermatophilus ruber	0.9456	0.9529	0.01192	0.6124
Geodermatophilus bullaregiensis	0.9499	0.9526	0.01202	0.2246
Geodermatophilus siccatus	0.9570	0.9522	0.01199	0.4003
Geodermatophilus soli	0.9404	0.9532	0.01168	1.096
Geodermatophilus sabuli	0.9480	0.9527	0.01199	0.3920
Geodermatophilus normandii	0.9616	0.9520	0.01184	0.8108
Geodermatophilus telluris	0.9546	0.9524	0.01203	0.1829
Geodermatophilus taihuensis	0.9157	0.9545	0.008101	4.790
Geodermatophilus arenarius	0.9655	0.9518	0.01162	1.179
Geodermatophilus amargosae	0.9636	0.9519	0.01174	0.9966
Geodermatophilus tzadiensis	0.9455	0.9529	0.01192	0.6208
