Gluconacetobacter sacchari	0.9702	0.9761	0.00679	0.8689
Gluconacetobacter entanii	0.9576	0.9775	0.003155	6.307
Gluconacetobacter liquefaciens	0.9778	0.9753	0.006997	0.3573
Gluconacetobacter takamatsuzukensis	0.9796	0.9751	0.006895	0.6526
Gluconacetobacter aggeris	0.9776	0.9753	0.007005	0.3283
Gluconacetobacter johannae	0.9792	0.9751	0.006923	0.5922
Gluconacetobacter tumulicola	0.9790	0.9751	0.006936	0.5623
Gluconacetobacter azotocaptans	0.9775	0.9753	0.007008	0.3139
Gluconacetobacter tumulisoli	0.9748	0.9756	0.007038	0.1137
Gluconacetobacter diazotrophicus	0.9819	0.9748	0.006676	1.064
