Glycomyces scopariae	0.9419	0.9204	0.01308	1.644
Glycomyces rutgersensis	0.9362	0.9208	0.01361	1.132
Glycomyces mayteni	0.9355	0.9208	0.01366	1.076
Glycomyces tarimensis	0.9268	0.9214	0.01408	0.3835
Glycomyces algeriensis	0.9330	0.9210	0.01382	0.8683
Glycomyces tenuis	0.9288	0.9213	0.01402	0.5350
Glycomyces phytohabitans	0.9103	0.9225	0.01382	0.8828
Glycomyces lechevalierae	0.9312	0.9211	0.01392	0.7256
Glycomyces harbinensis	0.9230	0.9216	0.01414	0.09901
Glycomyces lacisalsi	0.9086	0.9226	0.01371	1.021
Glycomyces sambucus	0.9270	0.9214	0.01408	0.3977
Glycomyces albus	0.8902	0.9238	0.01138	2.953
Glycomyces arizonensis	0.9279	0.9213	0.01405	0.4698
Glycomyces endophyticus	0.9151	0.9222	0.01404	0.5057
Glycomyces artemisiae	0.9074	0.9227	0.01362	1.123
Glycomyces fuscus	0.9047	0.9229	0.01340	1.358
