Gordonia araii	0.9583	0.9536	0.007999	0.5876
Gordonia kroppenstedtii	0.9381	0.9542	0.007588	2.122
Gordonia iterans	0.9503	0.9539	0.008015	0.4492
Gordonia effusa	0.9592	0.9536	0.007983	0.7015
Gordonia neofelifaecis	0.9546	0.9537	0.008035	0.1120
Gordonia lacunae	0.9695	0.9533	0.007583	2.136
Gordonia hydrophobica	0.9611	0.9536	0.00794	0.9446
Gordonia desulfuricans	0.9647	0.9535	0.00782	1.432
Gordonia cholesterolivorans	0.9549	0.9537	0.008034	0.1494
Gordonia alkanivorans	0.9617	0.9535	0.007923	1.035
Gordonia didemni	0.9619	0.9535	0.007917	1.061
Gordonia paraffinivorans	0.9485	0.9539	0.007987	0.6761
Gordonia rhizosphera	0.9527	0.9538	0.008034	0.1369
Gordonia bronchialis	0.9617	0.9535	0.007923	1.035
Gordonia sinesedis	0.9370	0.9542	0.007521	2.287
Gordonia rubripertincta	0.9640	0.9535	0.007847	1.338
Gordonia polyisoprenivorans	0.9503	0.9539	0.008015	0.4492
Gordonia hankookensis	0.9518	0.9538	0.008029	0.2491
Gordonia sihwensis	0.9592	0.9536	0.007983	0.7015
Gordonia defluvii	0.9561	0.9537	0.008026	0.2990
Gordonia otitidis	0.9550	0.9537	0.008033	0.1618
Gordonia terrae	0.9622	0.9535	0.007908	1.100
Gordonia humi	0.9584	0.9536	0.007998	0.6002
Gordonia amicalis	0.9590	0.9536	0.007987	0.6761
Gordonia caeni	0.9489	0.9539	0.007994	0.6255
Gordonia phosphorivorans	0.9515	0.9538	0.008027	0.2865
Gordonia hongkongensis	0.9508	0.9538	0.00802	0.3741
Gordonia shandongensis	0.9465	0.9540	0.007942	0.9443
Gordonia soli	0.9514	0.9538	0.008026	0.2990
Gordonia aichiensis	0.9561	0.9537	0.008026	0.2990
Gordonia sputi	0.9472	0.9539	0.007959	0.8418
Gordonia alkaliphila	0.9501	0.9539	0.008012	0.4743
Gordonia namibiensis	0.9543	0.9537	0.008035	0.07467
Gordonia westfalica	0.9525	0.9538	0.008033	0.1618
Gordonia jinhuaensis	0.9308	0.9544	0.007038	3.353
Gordonia hirsuta	0.9561	0.9537	0.008026	0.2990
Gordonia malaquae	0.9427	0.9541	0.007816	1.459
