Gracilibacillus saliphilus	0.9494	0.9377	0.009995	1.171
Gracilibacillus massiliensis	0.9452	0.9381	0.01035	0.6860
Gracilibacillus ureilyticus	0.9468	0.9380	0.01023	0.8602
Gracilibacillus bigeumensis	0.9259	0.9399	0.009745	1.437
Gracilibacillus lacisalsi	0.9294	0.9396	0.01013	1.007
Gracilibacillus boraciitolerans	0.9430	0.9383	0.01046	0.4493
Gracilibacillus kekensis	0.9413	0.9385	0.01052	0.2662
Gracilibacillus orientalis	0.9421	0.9384	0.01049	0.3527
Gracilibacillus dipsosauri	0.9455	0.9381	0.01033	0.7164
Gracilibacillus thailandensis	0.9427	0.9383	0.01047	0.4202
Gracilibacillus alcaliphilus	0.9400	0.9386	0.01054	0.1328
Gracilibacillus halotolerans	0.9132	0.9410	0.006835	4.067
