Gramella planctonica	0.9125	0.9515	0.01118	3.488
Gramella aestuariivivens	0.9562	0.9475	0.01566	0.5556
Gramella aquimixticola	0.9560	0.9475	0.01567	0.5424
Gramella flava	0.9361	0.9493	0.0154	0.8571
Gramella aestuarii	0.9514	0.9479	0.01583	0.2211
Gramella lutea	0.9645	0.9468	0.01501	1.179
Gramella gaetbulicola	0.9570	0.9474	0.01562	0.6146
Gramella echinicola	0.9576	0.9474	0.01559	0.6543
Gramella portivictoriae	0.9477	0.9483	0.01586	0.03783
Gramella oceani	0.9271	0.9502	0.01440	1.604
Gramella sediminilitoris	0.9664	0.9466	0.01479	1.339
Gramella forsetii	0.9463	0.9484	0.01585	0.1325
