Halobacillus alkaliphilus	0.9716	0.9639	0.01109	0.6943
Halobacillus yeomjeoni	0.9731	0.9638	0.01103	0.8432
Halobacillus seohaensis	0.9538	0.9649	0.01094	1.015
Halobacillus trueperi	0.9761	0.9637	0.01086	1.142
Halobacillus salinus	0.9619	0.9645	0.01122	0.2317
Halobacillus andaensis	0.9647	0.9643	0.01123	0.03562
Halobacillus halophilus	0.9662	0.9642	0.01122	0.1783
Halobacillus faecis	0.9740	0.9638	0.01099	0.9281
Halobacillus karajensis	0.9755	0.9637	0.01090	1.083
Halobacillus dabanensis	0.9757	0.9637	0.01089	1.102
Halobacillus locisalis	0.9638	0.9644	0.01123	0.05343
Halobacillus profundi	0.9658	0.9643	0.01123	0.1336
Halobacillus kuroshimensis	0.9471	0.9653	0.01043	1.745
Halobacillus salsuginis	0.9315	0.9662	0.007934	4.374
Halobacillus sediminis	0.9629	0.9644	0.01123	0.1336
Halobacillus campisalis	0.9680	0.9641	0.01120	0.3482
Halobacillus aidingensis	0.9619	0.9645	0.01122	0.2317
Halobacillus litoralis	0.9726	0.9639	0.01105	0.7873
Halobacillus mangrovi	0.9561	0.9648	0.01105	0.7873
