Haloferax gibbonsii	0.9740	0.9679	0.007957	0.7666
Haloferax alexandrinus	0.9767	0.9676	0.007693	1.183
Haloferax denitrificans	0.9736	0.9679	0.007986	0.7137
Haloferax larsenii	0.9623	0.9690	0.007913	0.8467
Haloferax prahovense	0.9730	0.9680	0.008026	0.6230
Haloferax lucentense	0.9753	0.9677	0.007844	0.9689
Haloferax mucosum	0.9674	0.9685	0.008162	0.1348
Haloferax elongans	0.9513	0.9701	0.005874	3.201
Haloferax volcanii	0.9692	0.9683	0.008165	0.1102
Haloferax sulfurifontis	0.9573	0.9695	0.007289	1.674
Haloferax mediterranei	0.9725	0.9680	0.008056	0.5586
