Halomonas daqingensis	0.9168	0.9241	0.01066	0.6848
Halomonas axialensis	0.9259	0.9240	0.01068	0.1779
Halomonas vilamensis	0.9194	0.9241	0.01067	0.4405
Halomonas elongata	0.9192	0.9241	0.01067	0.4592
Halomonas stenophila	0.9338	0.9239	0.01063	0.9313
Halomonas urumqiensis	0.9293	0.9239	0.01067	0.5061
Halomonas halodenitrificans	0.9060	0.9242	0.01051	1.732
Halomonas garicola	0.9076	0.9242	0.01054	1.575
Halomonas alkaliphila	0.9270	0.9240	0.01068	0.2809
Halomonas alkalicola	0.9270	0.9240	0.01068	0.2809
Halomonas eurihalina	0.9229	0.9240	0.01068	0.1030
Halomonas cupida	0.9225	0.9240	0.01068	0.1404
Halomonas gudaonensis	0.9236	0.9240	0.01069	0.03742
Halomonas boliviensis	0.9289	0.9240	0.01067	0.4592
Halomonas pantelleriensis	0.9218	0.9240	0.01068	0.2060
Halomonas sulfidaeris	0.9284	0.9240	0.01067	0.4124
Halomonas gomseomensis	0.9236	0.9240	0.01069	0.03742
Halomonas nitroreducens	0.9340	0.9239	0.01063	0.9501
Halomonas halmophila	0.9171	0.9241	0.01066	0.6567
Halomonas jeotgali	0.8914	0.9244	0.01009	3.271
Halomonas huangheensis	0.9249	0.9240	0.01068	0.08427
Halomonas magadiensis	0.9121	0.9241	0.01061	1.131
Halomonas xinjiangensis	0.9120	0.9241	0.01061	1.140
Halomonas johnsoniae	0.9269	0.9240	0.01068	0.2715
Halomonas subterranea	0.9278	0.9240	0.01068	0.3558
Halomonas salicampi	0.9216	0.9240	0.01068	0.2247
Halomonas maura	0.9297	0.9239	0.01067	0.5436
Halomonas subglaciescola	0.9181	0.9241	0.01067	0.5623
Halomonas koreensis	0.9323	0.9239	0.01065	0.7887
Halomonas stevensii	0.9244	0.9240	0.01069	0.03742
Halomonas campisalis	0.9140	0.9241	0.01063	0.9501
Halomonas beimenensis	0.9301	0.9239	0.01067	0.5811
Halomonas hydrothermalis	0.9290	0.9240	0.01067	0.4686
Halomonas cibimaris	0.9035	0.9242	0.01045	1.981
Halomonas salifodinae	0.9310	0.9239	0.01066	0.6660
Halomonas ilicicola	0.9123	0.9241	0.01061	1.112
Halomonas smyrnensis	0.9197	0.9241	0.01068	0.4120
Halomonas lutescens	0.9259	0.9240	0.01068	0.1779
Halomonas arcis	0.9225	0.9240	0.01068	0.1404
Halomonas mongoliensis	0.9324	0.9239	0.01065	0.7981
Halomonas ramblicola	0.9277	0.9240	0.01068	0.3464
Halomonas desiderata	0.9275	0.9240	0.01068	0.3277
Halomonas denitrificans	0.9350	0.9239	0.01062	1.045
Halomonas sediminicola	0.9318	0.9239	0.01065	0.7418
Halomonas aquamarina	0.9245	0.9240	0.01069	0.04677
Halomonas xianhensis	0.9156	0.9241	0.01065	0.7981
Halomonas zhanjiangensis	0.9202	0.9241	0.01068	0.3652
Halomonas korlensis	0.9183	0.9241	0.01067	0.5436
Halomonas halophila	0.9171	0.9241	0.01066	0.6567
Halomonas olivaria	0.9222	0.9240	0.01068	0.1685
Halomonas campaniensis	0.9344	0.9239	0.01063	0.9878
Halomonas kribbensis	0.9113	0.9242	0.01060	1.217
Halomonas alkaliantarctica	0.9265	0.9240	0.01068	0.2341
Halomonas andesensis	0.9266	0.9240	0.01068	0.2434
Halomonas qijiaojingensis	0.9136	0.9241	0.01063	0.9878
Halomonas venusta	0.9261	0.9240	0.01068	0.1966
Halomonas saccharevitans	0.9344	0.9239	0.01063	0.9878
Halomonas caseinilytica	0.9281	0.9240	0.01068	0.3839
Halomonas rifensis	0.9148	0.9241	0.01064	0.8741
Halomonas almeriensis	0.9158	0.9241	0.01065	0.7793
Halomonas hamiltonii	0.9214	0.9240	0.01068	0.2434
Halomonas taeanensis	0.9137	0.9241	0.01063	0.9784
Halomonas neptunia	0.9246	0.9240	0.01069	0.05613
Halomonas alimentaria	0.9334	0.9239	0.01064	0.8929
Halomonas organivorans	0.9245	0.9240	0.01069	0.04677
Halomonas lutea	0.9145	0.9241	0.01064	0.9023
Halomonas songnenensis	0.9278	0.9240	0.01068	0.3558
Halomonas meridiana	0.9192	0.9241	0.01067	0.4592
Halomonas salina	0.9217	0.9240	0.01068	0.2154
Halomonas anticariensis	0.9178	0.9241	0.01066	0.5910
Halomonas shengliensis	0.9312	0.9239	0.01066	0.6848
Halomonas halocynthiae	0.9101	0.9242	0.01058	1.333
Halomonas heilongjiangensis	0.9311	0.9239	0.01066	0.6754
Halomonas sabkhae	0.9199	0.9241	0.01068	0.3933
Halomonas flava	0.9161	0.9241	0.01065	0.7512
Halomonas pacifica	0.9299	0.9239	0.01067	0.5623
Halomonas zincidurans	0.9075	0.9242	0.01054	1.584
Halomonas variabilis	0.9313	0.9239	0.01066	0.6942
Halomonas muralis	0.9228	0.9240	0.01068	0.1124
Halomonas nanhaiensis	0.9246	0.9240	0.01069	0.05613
Halomonas cerina	0.9399	0.9238	0.01055	1.526
Halomonas titanicae	0.9140	0.9241	0.01063	0.9501
Halomonas sinaiensis	0.9410	0.9238	0.01053	1.633
Halomonas daqiaonensis	0.9409	0.9238	0.01053	1.624
Halomonas kenyensis	0.9436	0.9238	0.01047	1.891
Halomonas janggokensis	0.9219	0.9240	0.01068	0.1966
Halomonas qiaohouensis	0.9456	0.9238	0.01043	2.090
Halomonas ventosae	0.9748	0.9234	0.009175	5.602
