Halorubrum litoreum	0.9484	0.9377	0.008686	1.232
Halorubrum salinum	0.9399	0.9379	0.008872	0.2254
Halorubrum kocurii	0.9485	0.9377	0.008682	1.244
Halorubrum chaoviator	0.9448	0.9378	0.008797	0.7957
Halorubrum lipolyticum	0.9494	0.9376	0.008647	1.365
Halorubrum saccharovorum	0.9481	0.9377	0.008697	1.196
Halorubrum tibetense	0.9337	0.9381	0.008846	0.4974
Halorubrum rubrum	0.9338	0.9381	0.008848	0.4860
Halorubrum vacuolatum	0.9175	0.9386	0.008107	2.603
Halorubrum persicum	0.9403	0.9379	0.008869	0.2706
Halorubrum distributum	0.9371	0.9380	0.008877	0.1014
Halorubrum alkaliphilum	0.9287	0.9383	0.008726	1.100
Halorubrum trueperi	0.9390	0.9380	0.008877	0.1127
Halorubrum sodomense	0.9447	0.9378	0.008799	0.7842
Halorubrum laminariae	0.9396	0.9379	0.008874	0.1916
Halorubrum pallidum	0.9368	0.9380	0.008876	0.1352
Halorubrum coriense	0.9423	0.9379	0.008846	0.4974
Halorubrum aquaticum	0.9346	0.9381	0.008859	0.3951
Halorubrum orientale	0.9279	0.9383	0.008698	1.196
Halorubrum ejinorense	0.9431	0.9378	0.008833	0.6000
Halorubrum cibi	0.9293	0.9382	0.008745	1.018
Halorubrum tebenquichense	0.9400	0.9379	0.008872	0.2367
Halorubrum terrestre	0.9407	0.9379	0.008866	0.3158
Halorubrum aidingense	0.9459	0.9377	0.008768	0.9352
Halorubrum xinjiangense	0.9459	0.9377	0.008768	0.9352
Halorubrum rutilum	0.9346	0.9381	0.008859	0.3951
Halorubrum halophilum	0.9395	0.9379	0.008875	0.1803
Halorubrum californiense	0.9367	0.9380	0.008876	0.1465
Halorubrum gandharaense	0.9172	0.9386	0.008084	2.647
Halorubrum yunnanense	0.9344	0.9381	0.008856	0.4178
Halorubrum halodurans	0.9248	0.9384	0.008568	1.587
Halorubrum ezzemoulense	0.9256	0.9384	0.008605	1.488
Halorubrum trapanicum	0.9428	0.9378	0.008838	0.5657
Halorubrum arcis	0.9559	0.9374	0.008295	2.230
