Herbaspirillum rhizosphaerae	0.9567	0.9671	0.007859	1.323
Herbaspirillum seropedicae	0.9735	0.9653	0.008116	1.010
Herbaspirillum huttiense subsp. putei	0.9708	0.9656	0.008361	0.6219
Herbaspirillum autotrophicum	0.9573	0.9671	0.007944	1.234
Herbaspirillum chlorophenolicum	0.9706	0.9656	0.008375	0.5970
Herbaspirillum hiltneri	0.9604	0.9667	0.008286	0.7603
Herbaspirillum aquaticum	0.9784	0.9647	0.007345	1.865
Herbaspirillum huttiense subsp. huttiense	0.9704	0.9656	0.008388	0.5722
Herbaspirillum frisingense	0.9699	0.9657	0.008418	0.4989
Herbaspirillum lusitanum	0.9529	0.9676	0.007153	2.055
