Hydrogenophaga luteola	0.9549	0.9636	0.00719	1.210
Hydrogenophaga caeni	0.9505	0.9641	0.006389	2.129
Hydrogenophaga defluvii	0.9731	0.9616	0.006775	1.697
Hydrogenophaga bisanensis	0.9644	0.9625	0.007673	0.2476
Hydrogenophaga laconesensis	0.9700	0.9619	0.007257	1.116
Hydrogenophaga pseudoflava	0.9605	0.9630	0.007657	0.3265
Hydrogenophaga intermedia	0.9556	0.9635	0.007279	1.085
Hydrogenophaga atypica	0.9699	0.9619	0.007269	1.101
Hydrogenophaga palleronii	0.9690	0.9620	0.007372	0.9495
Hydrogenophaga flava	0.9592	0.9631	0.007596	0.5134
