Hyphomicrobium sulfonivorans	0.9115	0.9287	0.01778	0.9674
Hyphomicrobium zavarzinii	0.9255	0.9272	0.01859	0.09145
Hyphomicrobium nitrativorans	0.9178	0.9280	0.01831	0.5571
Hyphomicrobium facile subsp. facile	0.9572	0.9236	0.01527	2.200
Hyphomicrobium denitrificans	0.9441	0.9251	0.01760	1.080
Hyphomicrobium methylovorum	0.9364	0.9259	0.01830	0.5738
Hyphomicrobium facile subsp. tolerans	0.9391	0.9256	0.01810	0.7459
Hyphomicrobium chloromethanicum	0.8989	0.9301	0.01576	1.980
Hyphomicrobium hollandicum	0.9347	0.9261	0.01840	0.4674
Hyphomicrobium vulgare	0.9047	0.9295	0.01687	1.470
