Hyphomonas adhaerens	0.9504	0.9594	0.006792	1.325
Hyphomonas rosenbergii	0.9570	0.9587	0.007344	0.2315
Hyphomonas hirschiana	0.9519	0.9592	0.006989	1.044
Hyphomonas jannaschiana	0.9485	0.9596	0.006472	1.715
Hyphomonas oceanitis	0.9681	0.9574	0.006543	1.635
Hyphomonas beringensis	0.9694	0.9573	0.006286	1.925
Hyphomonas atlantica	0.9594	0.9584	0.007356	0.1359
Hyphomonas neptunium	0.9603	0.9583	0.007335	0.2727
Hyphomonas johnsonii	0.9653	0.9577	0.006963	1.091
Hyphomonas polymorpha	0.9546	0.9589	0.007235	0.5943
