Kocuria polaris	0.9512	0.9429	0.01150	0.7217
Kocuria kristinae	0.9360	0.9436	0.01152	0.6597
Kocuria varians	0.9461	0.9431	0.01161	0.2584
Kocuria palustris	0.9416	0.9433	0.01163	0.1462
Kocuria himachalensis	0.9406	0.9434	0.01162	0.2410
Kocuria marina	0.9483	0.9430	0.01158	0.4577
Kocuria arsenatis	0.9376	0.9435	0.01156	0.5104
Kocuria subflava	0.9499	0.9429	0.01154	0.6066
Kocuria rosea	0.9529	0.9428	0.01143	0.8836
Kocuria carniphila	0.9547	0.9427	0.01135	1.057
Kocuria rhizophila	0.9467	0.9431	0.01161	0.3101
Kocuria salsicia	0.9437	0.9432	0.01163	0.04299
Kocuria indica	0.9155	0.9446	0.009845	2.956
Kocuria pelophila	0.9301	0.9439	0.01126	1.226
Kocuria oceani	0.9542	0.9427	0.01137	1.011
Kocuria flava	0.9514	0.9429	0.01149	0.7398
Kocuria gwangalliensis	0.9443	0.9432	0.01163	0.09458
Kocuria aegyptia	0.9472	0.9431	0.01160	0.3534
Kocuria atrinae	0.9472	0.9431	0.01160	0.3534
Kocuria halotolerans	0.9475	0.9430	0.01159	0.3883
Kocuria dechangensis	0.9541	0.9427	0.01138	1.002
Kocuria turfanensis	0.9105	0.9448	0.009046	3.792
