Komagataeibacter sucrofermentans	0.9860	0.9827	0.005236	0.6303
Komagataeibacter europaeus	0.9873	0.9826	0.005153	0.9121
Komagataeibacter maltaceti	0.9783	0.9834	0.005125	0.9951
Komagataeibacter kombuchae	0.9713	0.9840	0.003992	3.181
Komagataeibacter medellinensis	0.9825	0.9830	0.005313	0.09411
Komagataeibacter nataicola	0.9825	0.9830	0.005313	0.09411
Komagataeibacter hansenii	0.9742	0.9837	0.004614	2.059
Komagataeibacter swingsii	0.9887	0.9825	0.005029	1.233
Komagataeibacter oboediens	0.9854	0.9828	0.005264	0.4939
Komagataeibacter xylinus	0.9845	0.9829	0.005295	0.3022
Komagataeibacter intermedius	0.9881	0.9826	0.005087	1.081
Komagataeibacter rhaeticus	0.9854	0.9828	0.005264	0.4939
Komagataeibacter kakiaceti	0.9845	0.9829	0.005295	0.3022
