Kribbella hippodromi	0.9742	0.9722	0.007298	0.2740
Kribbella solani	0.9708	0.9723	0.007303	0.2054
Kribbella koreensis	0.9718	0.9723	0.00731	0.06840
Kribbella swartbergensis	0.9739	0.9722	0.007301	0.2328
Kribbella alba	0.9710	0.9723	0.007305	0.1780
Kribbella shirazensis	0.9627	0.9727	0.007007	1.427
Kribbella deserti	0.9583	0.9729	0.006648	2.196
Kribbella sancticallisti	0.9766	0.9721	0.007249	0.6208
Kribbella endophytica	0.9739	0.9722	0.007301	0.2328
Kribbella antibiotica	0.9747	0.9721	0.007291	0.3566
Kribbella jejuensis	0.9655	0.9726	0.007161	0.9915
Kribbella amoyensis	0.9658	0.9725	0.007174	0.9339
Kribbella lupini	0.9684	0.9724	0.007262	0.5508
Kribbella aluminosa	0.9685	0.9724	0.007264	0.5369
Kribbella albertanoniae	0.9827	0.9718	0.006946	1.569
Kribbella ginsengisoli	0.9782	0.9720	0.007194	0.8618
Kribbella flavida	0.9775	0.9720	0.00722	0.7618
Kribbella pittospori	0.9761	0.9721	0.007262	0.5508
Kribbella italica	0.9780	0.9720	0.007202	0.8331
Kribbella mirabilis	0.9538	0.9731	0.006104	3.162
Kribbella sandramycini	0.9806	0.9719	0.00708	1.229
Kribbella karoonensis	0.9781	0.9720	0.007198	0.8475
Kribbella yunnanensis	0.9807	0.9719	0.007075	1.244
