Lactococcus garvieae subsp. garvieae	0.9079	0.9085	0.01488	0.04032
Lactococcus lactis subsp. lactis	0.9233	0.9074	0.01431	1.111
Lactococcus nasutitermitis	0.8974	0.9093	0.01456	0.8173
Lactococcus chungangensis	0.9033	0.9089	0.01481	0.3781
Lactococcus hircilactis	0.8906	0.9098	0.01403	1.368
Lactococcus fujiensis	0.8963	0.9094	0.01449	0.9041
Lactococcus raffinolactis	0.9055	0.9087	0.01486	0.2153
Lactococcus formosensis	0.9001	0.9091	0.01470	0.6122
Lactococcus lactis subsp. cremoris	0.9336	0.9067	0.01316	2.044
Lactococcus laudensis	0.9104	0.9084	0.01487	0.1345
Lactococcus piscium	0.9003	0.9091	0.01471	0.5982
Lactococcus taiwanensis	0.9349	0.9066	0.01296	2.184
Lactococcus lactis subsp. tructae	0.9307	0.9069	0.01355	1.756
Lactococcus garvieae subsp. bovis	0.8982	0.9092	0.01461	0.7529
Lactococcus lactis subsp. hordniae	0.8949	0.9095	0.01440	1.014
