Leifsonia antarctica	0.9428	0.9450	0.009206	0.2390
Leifsonia poae	0.9533	0.9440	0.008831	1.053
Leifsonia aquatica	0.9447	0.9448	0.009227	0.01084
Leifsonia xyli subsp. cynodontis	0.9535	0.9440	0.008811	1.078
Leifsonia naganoensis	0.9383	0.9454	0.008998	0.7891
Leifsonia rubra	0.9293	0.9462	0.007831	2.158
Leifsonia pindariensis	0.9421	0.9450	0.009188	0.3156
Leifsonia lichenia	0.9576	0.9436	0.00830	1.687
Leifsonia psychrotolerans	0.9546	0.9439	0.008696	1.230
Leifsonia kafniensis	0.9311	0.9460	0.008157	1.827
Leifsonia shinshuensis	0.9403	0.9452	0.009118	0.5374
Leifsonia bigeumensis	0.95	0.9443	0.009081	0.6277
