Lentibacillus kimchii	0.9174	0.9257	0.00941	0.8820
Lentibacillus halodurans	0.9323	0.9245	0.00944	0.8263
Lentibacillus jeotgali	0.9345	0.9244	0.009278	1.089
Lentibacillus lacisalsi	0.9280	0.9249	0.009629	0.3219
Lentibacillus kapialis	0.9234	0.9252	0.009654	0.1865
Lentibacillus amyloliquefaciens	0.9276	0.9249	0.009639	0.2801
Lentibacillus persicus	0.9210	0.9254	0.009594	0.4586
Lentibacillus juripiscarius	0.9367	0.9242	0.009069	1.378
Lentibacillus halophilus	0.9016	0.9269	0.006911	3.661
Lentibacillus salinarum	0.9347	0.9243	0.009261	1.123
Lentibacillus populi	0.9237	0.9252	0.009658	0.1553
Lentibacillus salis	0.9248	0.9251	0.009665	0.03104
Lentibacillus salicampi	0.9324	0.9245	0.009433	0.8375
Lentibacillus garicola	0.9130	0.9260	0.009019	1.441
