Leucobacter iarius	0.9574	0.9527	0.008877	0.5295
Leucobacter aerolatus	0.9555	0.9528	0.008923	0.3026
Leucobacter luti	0.9574	0.9527	0.008877	0.5295
Leucobacter alluvii	0.9551	0.9529	0.008929	0.2464
Leucobacter holotrichiae	0.9317	0.9542	0.007198	3.126
Leucobacter chromiireducens subsp. chromiireducens	0.9596	0.9526	0.008791	0.7963
Leucobacter chromiiresistens	0.9541	0.9529	0.008941	0.1342
Leucobacter chironomi	0.9461	0.9534	0.008779	0.8315
Leucobacter zeae	0.9516	0.9531	0.008938	0.1678
Leucobacter exalbidus	0.9572	0.9527	0.008883	0.5066
Leucobacter aridicollis	0.9619	0.9525	0.008664	1.085
Leucobacter celer subsp. celer	0.9468	0.9533	0.008811	0.7377
Leucobacter populi	0.9338	0.9541	0.007557	2.686
Leucobacter albus	0.9545	0.9529	0.008937	0.1790
Leucobacter tardus	0.9491	0.9532	0.008893	0.4610
Leucobacter komagatae	0.9579	0.9527	0.00886	0.5869
Leucobacter chromiireducens subsp. solipictus	0.9673	0.9521	0.00820	1.854
Leucobacter denitrificans	0.9566	0.9528	0.008899	0.4270
