Loktanella atrilutea	0.9126	0.9316	0.01223	1.554
Loktanella sediminilitoris	0.9415	0.9300	0.01269	0.9062
Loktanella litorea	0.9353	0.9304	0.01290	0.3798
Loktanella koreensis	0.9255	0.9309	0.01289	0.4189
Loktanella maritima	0.9355	0.9304	0.01289	0.3957
Loktanella marina	0.9197	0.9312	0.01269	0.9062
Loktanella vestfoldensis	0.9280	0.9307	0.01293	0.2088
Loktanella pyoseonensis	0.9297	0.9307	0.01294	0.07728
Loktanella salsilacus	0.9319	0.9305	0.01294	0.1082
Loktanella maricola	0.9361	0.9303	0.01288	0.4503
Loktanella ponticola	0.9145	0.9315	0.01238	1.373
Loktanella agnita	0.9224	0.9310	0.01280	0.6719
Loktanella tamlensis	0.9295	0.9307	0.01294	0.09274
Loktanella sediminum	0.9047	0.9320	0.01142	2.391
Loktanella hongkongensis	0.9494	0.9296	0.01217	1.627
Loktanella variabilis	0.9527	0.9294	0.01185	1.966
Loktanella soesokkakensis	0.9474	0.9297	0.01233	1.436
Loktanella rosea	0.9214	0.9311	0.01276	0.7602
Loktanella aestuariicola	0.9476	0.9297	0.01231	1.454
Loktanella cinnabarina	0.9268	0.9308	0.01291	0.3098
