Lysinibacillus varians	0.9336	0.9400	0.01501	0.4264
Lysinibacillus boronitolerans	0.9377	0.9398	0.01506	0.1394
Lysinibacillus alkalisoli	0.9291	0.9402	0.01489	0.7455
Lysinibacillus macroides	0.9504	0.9393	0.01489	0.7455
Lysinibacillus pakistanensis	0.9486	0.9393	0.01494	0.6225
Lysinibacillus chungkukjangi	0.9474	0.9394	0.01497	0.5344
Lysinibacillus endophyticus	0.9436	0.9396	0.01504	0.2660
Lysinibacillus sphaericus	0.9493	0.9393	0.01492	0.6702
Lysinibacillus cresolivorans	0.8807	0.9423	0.008298	7.423
Lysinibacillus louembei	0.9418	0.9396	0.01506	0.1461
Lysinibacillus composti	0.9451	0.9395	0.01502	0.3728
Lysinibacillus odysseyi	0.9424	0.9396	0.01505	0.1860
Lysinibacillus mangiferihumi	0.9491	0.9393	0.01493	0.6564
Lysinibacillus contaminans	0.9410	0.9397	0.01506	0.08632
Lysinibacillus fusiformis	0.9399	0.9397	0.01506	0.01328
Lysinibacillus xylanilyticus	0.9554	0.9390	0.01469	1.116
Lysinibacillus parviboronicapiens	0.9302	0.9401	0.01493	0.6631
Lysinibacillus sinduriensis	0.9515	0.9392	0.01485	0.8283
Lysinibacillus massiliensis	0.9455	0.9395	0.01501	0.3997
Lysinibacillus acetophenoni	0.9385	0.9398	0.01506	0.08632
Lysinibacillus alkaliphilus	0.9458	0.9395	0.01501	0.4197
Lysinibacillus tabacifolii	0.9183	0.9407	0.01436	1.560
Lysinibacillus manganicus	0.9394	0.9397	0.01506	0.01992
Lysinibacillus halotolerans	0.9490	0.9393	0.01493	0.6497
