Maribacter sedimenticola	0.9426	0.9430	0.01092	0.03663
Maribacter vaceletii	0.9268	0.9439	0.01020	1.676
Maribacter antarcticus	0.9308	0.9436	0.01052	1.217
Maribacter arcticus	0.9475	0.9427	0.01086	0.4420
Maribacter chungangensis	0.9214	0.9442	0.009593	2.377
Maribacter thermophilus	0.9414	0.9430	0.01091	0.1467
Maribacter dokdonensis	0.9555	0.9423	0.01049	1.258
Maribacter orientalis	0.9554	0.9423	0.01050	1.248
Maribacter spongiicola	0.9559	0.9422	0.01046	1.310
Maribacter ulvicola	0.9489	0.9426	0.01083	0.5817
Maribacter flavus	0.9252	0.9439	0.01004	1.863
Maribacter aquivivus	0.9519	0.9425	0.01070	0.8785
Maribacter litorisediminis	0.9524	0.9424	0.01068	0.9363
Maribacter caenipelagi	0.9483	0.9427	0.01084	0.5166
Maribacter lutimaris	0.9442	0.9429	0.01092	0.1190
Maribacter arenosus	0.9382	0.9432	0.01086	0.4604
Maribacter aestuarii	0.9318	0.9436	0.01058	1.115
Maribacter forsetii	0.9481	0.9427	0.01085	0.4977
Maribacter stanieri	0.9498	0.9426	0.01079	0.6673
