Marinobacter vinifirmus	0.9321	0.9414	0.009558	0.9730
Marinobacter guineae	0.9449	0.9411	0.009648	0.3939
Marinobacter lutaoensis	0.9327	0.9414	0.009572	0.9089
Marinobacter litoralis	0.9232	0.9416	0.00923	1.993
Marinobacter oulmenensis	0.9290	0.9415	0.009469	1.320
Marinobacter koreensis	0.9443	0.9411	0.009654	0.3315
Marinobacter daepoensis	0.9272	0.9415	0.009405	1.520
Marinobacter algicola	0.9499	0.9409	0.009565	0.9409
Marinobacter maritimus	0.9400	0.9412	0.009665	0.1242
Marinobacter zhanjiangensis	0.9346	0.9413	0.00961	0.6972
Marinobacter salicampi	0.9316	0.9414	0.009545	1.027
Marinobacter sediminum	0.9501	0.9409	0.00956	0.9623
Marinobacter confluentis	0.9443	0.9411	0.009654	0.3315
Marinobacter bryozoorum	0.9420	0.9411	0.009666	0.09311
Marinobacter halotolerans	0.9446	0.9411	0.009651	0.3627
Marinobacter aromaticivorans	0.9400	0.9412	0.009665	0.1242
Marinobacter salsuginis	0.9500	0.9409	0.009563	0.9516
Marinobacter zhejiangensis	0.9317	0.9414	0.009548	1.016
Marinobacter flavimaris	0.9478	0.9410	0.009608	0.7077
Marinobacter hydrocarbonoclasticus	0.9275	0.9415	0.009417	1.487
Marinobacter adhaerens	0.9522	0.9409	0.009504	1.189
Marinobacter pelagius	0.9449	0.9411	0.009648	0.3939
Marinobacter lacisalsi	0.9322	0.9414	0.00956	0.9623
Marinobacter psychrophilus	0.9361	0.9413	0.009633	0.5398
Marinobacter halophilus	0.9382	0.9412	0.009655	0.3107
Marinobacter salinus	0.9532	0.9409	0.009473	1.298
Marinobacter excellens	0.9315	0.9414	0.009543	1.037
Marinobacter persicus	0.9345	0.9413	0.009608	0.7077
Marinobacter gudaonensis	0.9544	0.9408	0.009432	1.442
Marinobacter mobilis	0.9456	0.9410	0.009641	0.4771
Marinobacter antarcticus	0.9382	0.9412	0.009655	0.3107
Marinobacter shengliensis	0.9323	0.9414	0.009562	0.9517
Marinobacter daqiaonensis	0.9313	0.9414	0.009537	1.059
Marinobacter szutsaonensis	0.9426	0.9411	0.009664	0.1552
Marinobacter xestospongiae	0.9477	0.9410	0.00961	0.6972
Marinobacter similis	0.9581	0.9407	0.009279	1.875
Marinobacter nitratireducens	0.9393	0.9412	0.009662	0.1966
Marinobacter salarius	0.9554	0.9408	0.009394	1.554
Marinobacter santoriniensis	0.9346	0.9413	0.00961	0.6972
Marinobacter lipolyticus	0.9645	0.9406	0.008915	2.681
Marinobacter goseongensis	0.9531	0.9409	0.009476	1.287
