Marinobacterium sediminicola	0.9161	0.9064	0.01893	0.5124
Marinobacterium profundum	0.8986	0.9077	0.01895	0.4802
Marinobacterium georgiense	0.9023	0.9074	0.01904	0.2679
Marinobacterium rhizophilum	0.9021	0.9074	0.01904	0.2784
Marinobacterium mangrovicola	0.9062	0.9071	0.01909	0.04715
Marinobacterium nitratireducens	0.9032	0.9073	0.01906	0.2151
Marinobacterium halophilum	0.9113	0.9068	0.01905	0.2362
Marinobacterium stanieri	0.9118	0.9067	0.01905	0.2677
Marinobacterium marisflavi	0.8998	0.9076	0.01898	0.4110
Marinobacterium litorale	0.9159	0.9064	0.01893	0.5018
Marinobacterium lutimaris	0.9020	0.9074	0.01904	0.2836
Marinobacterium aestuariivivens	0.8865	0.9085	0.01822	1.207
Marinobacterium zhoushanense	0.8811	0.9089	0.01769	1.572
Marinobacterium jannaschii	0.9022	0.9074	0.01904	0.2731
Marinobacterium maritimum	0.9668	0.9028	0.009556	6.697
