Marinomonas mangrovi	0.9412	0.9394	0.007348	0.2450
Marinomonas mediterranea	0.9335	0.9397	0.00726	0.8540
Marinomonas polaris	0.9368	0.9396	0.007338	0.3816
Marinomonas hwangdonensis	0.9324	0.9397	0.00722	1.011
Marinomonas vaga	0.9341	0.9397	0.007279	0.7693
Marinomonas arctica	0.9299	0.9398	0.007105	1.393
Marinomonas aquiplantarum	0.9437	0.9393	0.007308	0.6021
Marinomonas alcarazii	0.9520	0.9390	0.006916	1.880
Marinomonas communis	0.9415	0.9394	0.007345	0.2859
Marinomonas pollencensis	0.9434	0.9393	0.007314	0.5606
Marinomonas ostreistagni	0.9390	0.9395	0.007356	0.06797
Marinomonas gallaica	0.9417	0.9394	0.007343	0.3132
Marinomonas rhizomae	0.9453	0.9392	0.007263	0.8399
Marinomonas balearica	0.9348	0.9396	0.007298	0.6577
Marinomonas aquimarina	0.9335	0.9397	0.00726	0.8540
Marinomonas ushuaiensis	0.9386	0.9395	0.007355	0.1224
Marinomonas blandensis	0.9300	0.9398	0.00711	1.378
Marinomonas arenicola	0.9489	0.9391	0.00711	1.378
Marinomonas pontica	0.9550	0.9389	0.006668	2.415
Marinomonas primoryensis	0.9332	0.9397	0.00725	0.8966
Marinomonas foliarum	0.9381	0.9395	0.007352	0.1904
Marinomonas dokdonensis	0.9407	0.9394	0.007352	0.1768
Marinomonas spartinae	0.9220	0.9401	0.006477	2.795
Marinomonas atlantica	0.9459	0.9392	0.007243	0.9250
Marinomonas profundimaris	0.9401	0.9394	0.007356	0.09516
Marinomonas fungiae	0.9411	0.9394	0.007349	0.2313
Marinomonas posidonica	0.9488	0.9391	0.007116	1.363
