Massilia psychrophila	0.9400	0.9455	0.007095	0.7752
Massilia violacea	0.9371	0.9456	0.006995	1.215
Massilia lutea	0.9426	0.9454	0.007148	0.3917
Massilia timonae	0.9477	0.9453	0.007153	0.3355
Massilia aurea	0.9453	0.9453	0.007166	0E+2
Massilia suwonensis	0.9530	0.9451	0.007019	1.126
Massilia yuzhufengensis	0.9457	0.9453	0.007166	0.05582
Massilia consociata	0.9449	0.9454	0.007166	0.06977
Massilia flava	0.9463	0.9453	0.007164	0.1396
Massilia albidiflava	0.9432	0.9454	0.007155	0.3075
Massilia haematophila	0.9433	0.9454	0.007156	0.2935
Massilia eurypsychrophila	0.9381	0.9456	0.007035	1.066
Massilia alkalitolerans	0.9288	0.9459	0.00645	2.651
Massilia jejuensis	0.9502	0.9452	0.007107	0.7035
Massilia plicata	0.9380	0.9456	0.007031	1.081
Massilia oculi	0.9451	0.9453	0.007166	0.02791
Massilia arvi	0.9587	0.9449	0.006707	2.058
Massilia niastensis	0.9598	0.9448	0.006626	2.264
Massilia varians	0.9449	0.9454	0.007166	0.06977
Massilia lurida	0.9359	0.9457	0.006941	1.412
Massilia tieshanensis	0.9533	0.9451	0.007007	1.170
Massilia norwichensis	0.9564	0.9450	0.006855	1.663
Massilia brevitalea	0.9478	0.9453	0.007151	0.3496
Massilia putida	0.9534	0.9451	0.007003	1.185
Massilia niabensis	0.9467	0.9453	0.007162	0.1955
Massilia pinisoli	0.9496	0.9452	0.007121	0.6179
Massilia aerilata	0.9385	0.9456	0.007049	1.007
Massilia umbonata	0.9488	0.9452	0.007137	0.5044
Massilia kyonggiensis	0.9398	0.9455	0.00709	0.8039
Massilia namucuonensis	0.9373	0.9456	0.007004	1.185
