Meiothermus granaticius	0.8730	0.8874	0.03009	0.4786
Meiothermus timidus	0.8777	0.8869	0.03027	0.3039
Meiothermus silvanus	0.8434	0.8903	0.02690	1.743
Meiothermus ruber	0.9128	0.8834	0.02907	1.011
Meiothermus chliarophilus	0.8706	0.8876	0.02996	0.5674
Meiothermus cateniformans	0.9152	0.8832	0.02882	1.110
Meiothermus terrae	0.8498	0.8897	0.02792	1.429
Meiothermus roseus	0.8593	0.8887	0.02907	1.011
Meiothermus cerbereus	0.9366	0.8810	0.02536	2.192
Meiothermus taiwanensis	0.9124	0.8834	0.02911	0.9962
Meiothermus rufus	0.8959	0.8851	0.03022	0.3574
