Mesorhizobium chacoense	0.9672	0.9742	0.01013	0.6910
Mesorhizobium caraganae	0.9783	0.9739	0.01016	0.4331
Mesorhizobium soli	0.9495	0.9746	0.009402	2.670
Mesorhizobium hawassense	0.9699	0.9741	0.01017	0.4130
Mesorhizobium shonense	0.9756	0.9739	0.01018	0.1670
Mesorhizobium loti	0.9773	0.9739	0.01017	0.3343
Mesorhizobium shangrilense	0.9751	0.9740	0.01018	0.1081
Mesorhizobium kowhaii	0.9755	0.9739	0.01018	0.1572
Mesorhizobium abyssinicae	0.9766	0.9739	0.01018	0.2652
Mesorhizobium australicum	0.9729	0.9740	0.01018	0.1081
Mesorhizobium ciceri	0.9735	0.9740	0.01019	0.04907
Mesorhizobium mediterraneum	0.9803	0.9738	0.01014	0.6410
Mesorhizobium qingshengii	0.9767	0.9739	0.01018	0.2750
Mesorhizobium alhagi	0.9529	0.9745	0.009611	2.247
Mesorhizobium cantuariense	0.9729	0.9740	0.01018	0.1081
Mesorhizobium plurifarium	0.9788	0.9739	0.01016	0.4823
Mesorhizobium silamurunense	0.9789	0.9739	0.01016	0.4921
Mesorhizobium waimense	0.9826	0.9738	0.01009	0.8722
Mesorhizobium huakuii	0.9770	0.9739	0.01017	0.3048
Mesorhizobium thiogangeticum	0.9533	0.9745	0.009633	2.201
Mesorhizobium tamadayense	0.9813	0.9738	0.01012	0.7411
Mesorhizobium septentrionale	0.9786	0.9739	0.01016	0.4626
Mesorhizobium albiziae	0.9468	0.9747	0.00921	3.029
Mesorhizobium tarimense	0.9817	0.9738	0.01011	0.7814
Mesorhizobium muleiense	0.9798	0.9738	0.01014	0.5917
Mesorhizobium camelthorni	0.9528	0.9745	0.009605	2.259
Mesorhizobium sophorae	0.9788	0.9739	0.01016	0.4823
Mesorhizobium jarvisii	0.9841	0.9737	0.01006	1.034
Mesorhizobium acaciae	0.9767	0.9739	0.01018	0.2750
Mesorhizobium waitakense	0.9793	0.9738	0.01015	0.5419
Mesorhizobium amorphae	0.9834	0.9737	0.01007	0.9633
Mesorhizobium gobiense	0.9834	0.9737	0.01007	0.9633
Mesorhizobium metallidurans	0.9844	0.9737	0.01005	1.065
Mesorhizobium sangaii	0.9736	0.9740	0.01019	0.03925
Mesorhizobium erdmanii	0.9800	0.9738	0.01014	0.6114
Mesorhizobium sediminum	0.9557	0.9744	0.009757	1.917
Mesorhizobium temperatum	0.9811	0.9738	0.01012	0.7213
Mesorhizobium robiniae	0.9735	0.9740	0.01019	0.04907
Mesorhizobium tianshanense	0.9820	0.9738	0.01010	0.8119
Mesorhizobium newzealandense	0.9827	0.9738	0.01009	0.8821
Mesorhizobium calcicola	0.9687	0.9741	0.01015	0.5320
