Methanosarcina horonobensis	0.9589	0.9433	0.01403	1.112
Methanosarcina semesiae	0.9204	0.9465	0.01277	2.044
Methanosarcina siciliae	0.9638	0.9429	0.01349	1.549
Methanosarcina lacustris	0.9415	0.9448	0.01465	0.2253
Methanosarcina mazei	0.9522	0.9439	0.01450	0.5724
Methanosarcina thermophila	0.9482	0.9442	0.01464	0.2732
Methanosarcina acetivorans	0.9470	0.9443	0.01466	0.1842
Methanosarcina vacuolata	0.9651	0.9428	0.01332	1.674
Methanosarcina soligelidi	0.9467	0.9443	0.01467	0.1636
Methanosarcina spelaei	0.9446	0.9445	0.01468	0.006812
Methanosarcina flavescens	0.9432	0.9446	0.01468	0.09537
Methanosarcina barkeri	0.9277	0.9459	0.01379	1.320
Methanosarcina baltica	0.9195	0.9466	0.01261	2.149
