Microbulbifer rhizosphaerae	0.9479	0.9384	0.005799	1.638
Microbulbifer mangrovi	0.9393	0.9388	0.006159	0.08118
Microbulbifer taiwanensis	0.9478	0.9384	0.005807	1.619
Microbulbifer halophilus	0.9205	0.9397	0.004507	4.260
Microbulbifer gwangyangensis	0.9387	0.9388	0.00616	0.01623
Microbulbifer donghaiensis	0.9429	0.9386	0.006089	0.7062
Microbulbifer echini	0.9383	0.9389	0.006159	0.09742
Microbulbifer variabilis	0.9369	0.9389	0.006144	0.3255
Microbulbifer celer	0.9345	0.9390	0.00608	0.7401
Microbulbifer okinawensis	0.9421	0.9387	0.006114	0.5561
Microbulbifer elongatus	0.9385	0.9388	0.00616	0.04870
Microbulbifer yueqingensis	0.9394	0.9388	0.006159	0.09742
Microbulbifer agarilyticus	0.9363	0.9390	0.006133	0.4402
Microbulbifer chitinilyticus	0.9324	0.9392	0.005981	1.137
Microbulbifer thermotolerans	0.9380	0.9389	0.006157	0.1462
Microbulbifer hydrolyticus	0.9393	0.9388	0.006159	0.08118
Microbulbifer maritimus	0.9462	0.9385	0.005924	1.300
Microbulbifer marinus	0.9408	0.9387	0.006143	0.3419
Microbulbifer aestuariivivens	0.9445	0.9385	0.006021	0.9965
Microbulbifer epialgicus	0.9306	0.9392	0.005864	1.467
Microbulbifer salipaludis	0.9405	0.9387	0.006148	0.2928
