Microvirga massiliensis	0.9172	0.9573	0.006545	6.127
Microvirga aerilata	0.9651	0.9525	0.01322	0.9531
Microvirga vignae	0.9608	0.9530	0.01355	0.5756
Microvirga flocculans	0.9576	0.9533	0.01369	0.3141
Microvirga ossetica	0.9572	0.9533	0.01370	0.2847
Microvirga soli	0.9590	0.9531	0.01364	0.4326
Microvirga guangxiensis	0.9572	0.9533	0.01370	0.2847
Microvirga lupini	0.9622	0.9528	0.01346	0.6984
Microvirga subterranea	0.9619	0.9529	0.01348	0.6677
Microvirga zambiensis	0.9514	0.9539	0.01373	0.1821
Microvirga aerophila	0.9408	0.9550	0.01307	1.086
