Moraxella cuniculi	0.9318	0.9229	0.03085	0.2885
Moraxella bovoculi	0.9194	0.9238	0.03092	0.1423
Moraxella porci	0.9374	0.9225	0.03070	0.4853
Moraxella catarrhalis	0.9351	0.9227	0.03077	0.4030
Moraxella ovis	0.9212	0.9237	0.03093	0.08083
Moraxella caprae	0.8879	0.9260	0.02933	1.299
Moraxella atlantae	0.8594	0.9281	0.02535	2.710
Moraxella bovis	0.9383	0.9224	0.03067	0.5184
Moraxella nonliquefaciens	0.9445	0.9220	0.03039	0.7404
Moraxella caviae	0.9307	0.9230	0.03087	0.2494
Moraxella boevrei	0.8784	0.9267	0.02831	1.706
Moraxella canis	0.9342	0.9227	0.03080	0.3734
Moraxella lincolnii	0.9052	0.9248	0.03052	0.6422
Moraxella pluranimalium	0.9416	0.9222	0.03053	0.6354
Moraxella lacunata	0.9874	0.9189	0.02539	2.698
