Muricauda antarctica	0.9389	0.9268	0.01911	0.6332
Muricauda lutea	0.8891	0.9318	0.01459	2.927
Muricauda flavescens	0.9390	0.9268	0.01911	0.6384
Muricauda lutimaris	0.9496	0.9257	0.01808	1.322
Muricauda ruestringensis	0.9366	0.9270	0.01924	0.4990
Muricauda taeanensis	0.9327	0.9274	0.01939	0.2733
Muricauda aquimarina	0.9415	0.9266	0.01893	0.7871
Muricauda pacifica	0.9062	0.9301	0.01808	1.322
Muricauda zhangzhouensis	0.9382	0.9269	0.01916	0.5898
Muricauda olearia	0.9333	0.9274	0.01938	0.3044
Muricauda lutaonensis	0.9019	0.9305	0.01744	1.640
