Neisseria gonorrhoeae	0.9419	0.9397	0.008913	0.2468
Neisseria shayeganii	0.9463	0.9395	0.008796	0.7731
Neisseria subflava	0.9540	0.9391	0.008282	1.799
Neisseria animaloris	0.9385	0.9399	0.008921	0.1569
Neisseria dentiae	0.9294	0.9404	0.008581	1.282
Neisseria polysaccharea	0.9504	0.9393	0.008574	1.295
Neisseria flavescens	0.9387	0.9399	0.008922	0.1345
Neisseria zoodegmatis	0.9439	0.9396	0.008875	0.4845
Neisseria elongata subsp. elongata	0.9367	0.9400	0.008895	0.3710
Neisseria lactamica	0.9306	0.9403	0.008657	1.120
Neisseria wadsworthii	0.9407	0.9398	0.008924	0.1009
Neisseria sicca	0.9436	0.9397	0.008882	0.4391
Neisseria weaveri	0.9515	0.9392	0.008495	1.448
Neisseria canis	0.9343	0.9401	0.00883	0.6569
Neisseria cinerea	0.9435	0.9397	0.008885	0.4277
Neisseria arctica	0.9316	0.9403	0.008712	0.9986
Neisseria bacilliformis	0.9206	0.9409	0.007691	2.639
Neisseria animalis	0.9543	0.9391	0.008253	1.842
Neisseria oralis	0.9345	0.9401	0.008837	0.6337
Neisseria iguanae	0.9320	0.9403	0.008733	0.9504
