Nesterenkonia populi	0.9307	0.9486	0.006274	2.853
Nesterenkonia rhizosphaerae	0.9492	0.9475	0.007624	0.2230
Nesterenkonia lutea	0.9562	0.9471	0.007306	1.246
Nesterenkonia halotolerans	0.9492	0.9475	0.007624	0.2230
Nesterenkonia aurantiaca	0.9468	0.9476	0.007633	0.1048
Nesterenkonia alba	0.9381	0.9482	0.007234	1.396
Nesterenkonia flava	0.9580	0.9469	0.007149	1.553
Nesterenkonia alkaliphila	0.9408	0.9480	0.007433	0.9687
Nesterenkonia suensis	0.9559	0.9471	0.007329	1.201
Nesterenkonia xinjiangensis	0.9518	0.9473	0.007558	0.5954
Nesterenkonia halobia	0.9476	0.9476	0.007636	0E+2
Nesterenkonia sandarakina	0.9470	0.9476	0.007634	0.07860
Nesterenkonia halophila	0.9427	0.9479	0.007531	0.6905
Nesterenkonia aethiopica	0.9439	0.9478	0.007576	0.5148
Nesterenkonia lacusekhoensis	0.9600	0.9468	0.006934	1.904
Nesterenkonia massiliensis	0.9413	0.9480	0.007462	0.8979
Nesterenkonia jeotgali	0.9498	0.9475	0.007614	0.3021
