Nocardioides pakistanensis	0.9137	0.9218	0.008604	0.9414
Nocardioides marinisabuli	0.9343	0.9216	0.008542	1.487
Nocardioides intraradicalis	0.9326	0.9216	0.008569	1.284
Nocardioides exalbidus	0.9253	0.9217	0.00864	0.4167
Nocardioides ungokensis	0.9304	0.9217	0.008598	1.012
Nocardioides endophyticus	0.9301	0.9217	0.008601	0.9766
Nocardioides pyridinolyticus	0.9346	0.9216	0.008536	1.523
Nocardioides pacificus	0.9242	0.9217	0.008644	0.2892
Nocardioides deserti	0.9276	0.9217	0.008625	0.6841
Nocardioides nanhaiensis	0.9176	0.9218	0.008636	0.4863
Nocardioides furvisabuli	0.9304	0.9217	0.008598	1.012
Nocardioides lentus	0.9145	0.9218	0.008613	0.8476
Nocardioides marinus	0.9351	0.9216	0.008527	1.583
Nocardioides gilvus	0.9180	0.9218	0.008639	0.4399
Nocardioides islandensis	0.9119	0.9219	0.008583	1.165
Nocardioides zeicaulis	0.9280	0.9217	0.008622	0.7307
Nocardioides dokdonensis	0.9320	0.9216	0.008577	1.213
Nocardioides ganghwensis	0.9229	0.9217	0.008647	0.1388
Nocardioides salarius	0.9347	0.9216	0.008535	1.535
Nocardioides hwasunensis	0.9177	0.9218	0.008637	0.4747
Nocardioides aquiterrae	0.9343	0.9216	0.008542	1.487
Nocardioides massiliensis	0.9230	0.9217	0.008647	0.1503
Nocardioides plantarum	0.9202	0.9218	0.008646	0.1851
Nocardioides mesophilus	0.9143	0.9218	0.008611	0.8710
Nocardioides oleivorans	0.9153	0.9218	0.00862	0.7541
Nocardioides alpinus	0.9285	0.9217	0.008617	0.7891
Nocardioides fonticola	0.9254	0.9217	0.008639	0.4283
Nocardioides alkalitolerans	0.9240	0.9217	0.008645	0.2660
Nocardioides daedukensis	0.9219	0.9218	0.008648	0.01156
Nocardioides solisilvae	0.9251	0.9217	0.008641	0.3935
Nocardioides halotolerans	0.9131	0.9219	0.008598	1.023
Nocardioides daphniae	0.9234	0.9217	0.008646	0.1966
Nocardioides zeae	0.9168	0.9218	0.008632	0.5792
Nocardioides lianchengensis	0.9305	0.9217	0.008596	1.024
Nocardioides caeni	0.9279	0.9217	0.008623	0.7190
Nocardioides kongjuensis	0.9289	0.9217	0.008614	0.8358
Nocardioides baekrokdamisoli	0.9094	0.9219	0.008545	1.463
Nocardioides phosphati	0.9192	0.9218	0.008644	0.3008
Nocardioides hungaricus	0.9096	0.9219	0.008548	1.439
Nocardioides tritolerans	0.8966	0.9220	0.008212	3.093
Nocardioides terrae	0.9334	0.9216	0.008556	1.379
Nocardioides luteus	0.9283	0.9217	0.008619	0.7658
Nocardioides dilutus	0.9147	0.9218	0.008615	0.8241
Nocardioides bigeumensis	0.9152	0.9218	0.008619	0.7658
Nocardioides terrigena	0.9315	0.9216	0.008584	1.153
Nocardioides sediminis	0.9069	0.9219	0.008498	1.765
Nocardioides panzhihuensis	0.9198	0.9218	0.008645	0.2313
Nocardioides cavernae	0.9263	0.9217	0.008634	0.5328
Nocardioides albidus	0.9232	0.9217	0.008647	0.1735
Nocardioides dubius	0.9234	0.9217	0.008646	0.1966
Nocardioides hankookensis	0.9309	0.9216	0.008592	1.082
Nocardioides marinquilinus	0.9036	0.9220	0.008424	2.184
Nocardioides daeguensis	0.9286	0.9217	0.008616	0.8008
Nocardioides ginsengisegetis	0.9269	0.9217	0.00863	0.6025
Nocardioides albus	0.9203	0.9218	0.008647	0.1735
Nocardioides jensenii	0.9162	0.9218	0.008627	0.6491
Nocardioides montaniterrae	0.9202	0.9218	0.008646	0.1851
Nocardioides koreensis	0.9271	0.9217	0.008629	0.6258
Nocardioides daecheongensis	0.9270	0.9217	0.00863	0.6141
Nocardioides nitrophenolicus	0.9275	0.9217	0.008626	0.6724
Nocardioides antarcticus	0.9163	0.9218	0.008628	0.6375
Nocardioides conyzicola	0.9270	0.9217	0.00863	0.6141
Nocardioides psychrotolerans	0.9241	0.9217	0.008644	0.2776
Nocardioides daejeonensis	0.9194	0.9218	0.008644	0.2776
Nocardioides kribbensis	0.9279	0.9217	0.008623	0.7190
Nocardioides maradonensis	0.9226	0.9217	0.008648	0.1041
Nocardioides albertanoniae	0.9242	0.9217	0.008644	0.2892
Nocardioides caricicola	0.9194	0.9218	0.008644	0.2776
Nocardioides salsibiostraticola	0.9095	0.9219	0.008547	1.451
Nocardioides glacieisoli	0.9206	0.9218	0.008647	0.1388
Nocardioides ultimimeridianus	0.9239	0.9217	0.008645	0.2545
Nocardioides iriomotensis	0.8958	0.9221	0.008183	3.214
Nocardioides perillae	0.9090	0.9219	0.008538	1.511
Nocardioides panacisoli	0.9300	0.9217	0.008602	0.9649
Nocardioides ginsengagri	0.9181	0.9218	0.008639	0.4283
Nocardioides agariphilus	0.9069	0.9219	0.008498	1.765
Nocardioides ginsengisoli	0.9203	0.9218	0.008647	0.1735
Nocardioides ginkgobilobae	0.9327	0.9216	0.008567	1.296
Nocardioides rubriscoriae	0.9104	0.9219	0.008561	1.343
Nocardioides insulae	0.9170	0.9218	0.008633	0.5560
Nocardioides humi	0.9253	0.9217	0.00864	0.4167
Nocardioides aromaticivorans	0.9220	0.9218	0.008648	0.02313
Nocardioides aquaticus	0.9244	0.9217	0.008643	0.3124
Nocardioides echinoideorum	0.9143	0.9218	0.008611	0.8710
Nocardioides flavus	0.9182	0.9218	0.00864	0.4167
Nocardioides aestuarii	0.9363	0.9216	0.008505	1.728
Nocardioides panacihumi	0.9198	0.9218	0.008645	0.2313
Nocardioides rotundus	0.9049	0.9219	0.008455	2.011
