Nocardiopsis lucentensis	0.9586	0.9457	0.01047	1.232
Nocardiopsis gilva	0.9377	0.9462	0.01058	0.8034
Nocardiopsis oceani	0.9507	0.9459	0.01063	0.4516
Nocardiopsis dassonvillei subsp. dassonvillei	0.9584	0.9457	0.01048	1.212
Nocardiopsis litoralis	0.9398	0.9462	0.01061	0.6032
Nocardiopsis ganjiahuensis	0.9509	0.9459	0.01063	0.4704
Nocardiopsis baichengensis	0.9402	0.9462	0.01062	0.5650
Nocardiopsis potens	0.9375	0.9462	0.01057	0.8231
Nocardiopsis flavescens	0.9576	0.9458	0.01050	1.124
Nocardiopsis xinjiangensis	0.9441	0.9461	0.01065	0.1878
Nocardiopsis nanhaiensis	0.9520	0.9459	0.01061	0.5749
Nocardiopsis aegyptia	0.9559	0.9458	0.01054	0.9583
Nocardiopsis synnemataformans	0.9548	0.9458	0.01057	0.8515
Nocardiopsis listeri	0.9501	0.9459	0.01063	0.3951
Nocardiopsis rhizosphaerae	0.9419	0.9461	0.01063	0.3951
Nocardiopsis dassonvillei subsp. albirubida	0.9563	0.9458	0.01053	0.9972
Nocardiopsis salina	0.9394	0.9462	0.01060	0.6415
Nocardiopsis mwathae	0.9375	0.9462	0.01057	0.8231
Nocardiopsis chromatogenes	0.9293	0.9464	0.01034	1.654
Nocardiopsis trehalosi	0.9412	0.9461	0.01063	0.4610
Nocardiopsis sediminis	0.9419	0.9461	0.01063	0.3951
Nocardiopsis arvandica	0.9561	0.9458	0.01054	0.9772
Nocardiopsis tropica	0.9464	0.9460	0.01065	0.03756
Nocardiopsis rhodophaea	0.9190	0.9466	0.009804	2.815
Nocardiopsis alba	0.9595	0.9457	0.01045	1.321
Nocardiopsis metallicus	0.9538	0.9458	0.01059	0.7554
Nocardiopsis nikkonensis	0.9511	0.9459	0.01062	0.4896
Nocardiopsis fildesensis	0.9455	0.9460	0.01065	0.04695
Nocardiopsis terrae	0.9524	0.9459	0.01061	0.6126
Nocardiopsis halotolerans	0.9529	0.9459	0.01060	0.6604
Nocardiopsis composta	0.9428	0.9461	0.01064	0.3102
Nocardiopsis akesuensis	0.9181	0.9467	0.009744	2.935
Nocardiopsis prasina	0.9556	0.9458	0.01055	0.9289
Nocardiopsis coralliicola	0.9391	0.9462	0.01060	0.6698
Nocardiopsis valliformis	0.9503	0.9459	0.01063	0.4139
Nocardiopsis quinghaiensis	0.9376	0.9462	0.01057	0.8136
Nocardiopsis algeriensis	0.9552	0.9458	0.01056	0.8902
Nocardiopsis kunsanensis	0.9346	0.9463	0.01051	1.113
Nocardiopsis rosea	0.9340	0.9463	0.01049	1.173
Nocardiopsis alkaliphila	0.9466	0.9460	0.01065	0.05634
Nocardiopsis halophila	0.9335	0.9463	0.01048	1.221
Nocardiopsis sinuspersici	0.9568	0.9458	0.01052	1.046
Nocardiopsis ansamitocini	0.9397	0.9462	0.01061	0.6126
Nocardiopsis umidischolae	0.9685	0.9455	0.01007	2.284
