Nonlabens antarcticus	0.9223	0.9300	0.01234	0.6240
Nonlabens agnitus	0.9229	0.9300	0.01237	0.5740
Nonlabens spongiae	0.9060	0.9317	0.00989	2.599
Nonlabens ulvanivorans	0.9356	0.9287	0.01238	0.5574
Nonlabens marinus	0.9197	0.9303	0.01214	0.8731
Nonlabens tegetincola	0.9237	0.9299	0.01242	0.4992
Nonlabens dokdonensis	0.9487	0.9274	0.01079	1.974
Nonlabens sediminis	0.9295	0.9293	0.01256	0.01592
Nonlabens aestuariivivens	0.9486	0.9274	0.01081	1.961
Nonlabens arenilitoris	0.9309	0.9292	0.01255	0.1355
Nonlabens halophilus	0.9347	0.9288	0.01243	0.4747
