Nonomuraea endophytica	0.9642	0.9513	0.007879	1.637
Nonomuraea roseola	0.9584	0.9514	0.008048	0.8698
Nonomuraea coxensis	0.9325	0.9520	0.007564	2.578
Nonomuraea gerenzanensis	0.9586	0.9514	0.008044	0.8951
Nonomuraea antimicrobica	0.9502	0.9516	0.008113	0.1726
Nonomuraea dietziae	0.9535	0.9515	0.008111	0.2466
Nonomuraea angiospora	0.9592	0.9514	0.008031	0.9712
Nonomuraea roseoviolacea subsp. roseoviolacea	0.9540	0.9515	0.008108	0.3083
Nonomuraea rosea	0.9554	0.9515	0.008095	0.4818
Nonomuraea thailandensis	0.9560	0.9515	0.008087	0.5564
Nonomuraea rhizophila	0.9592	0.9514	0.008031	0.9712
Nonomuraea kuesteri	0.9636	0.9513	0.007901	1.557
Nonomuraea turkmeniaca	0.9590	0.9514	0.008035	0.9459
Nonomuraea helvata	0.9609	0.9514	0.007988	1.189
Nonomuraea ceibae	0.9510	0.9516	0.008116	0.07393
Nonomuraea indica	0.9519	0.9516	0.008116	0.03696
Nonomuraea jabiensis	0.9637	0.9513	0.007898	1.570
Nonomuraea bangladeshensis	0.9578	0.9514	0.008059	0.7941
Nonomuraea ferruginea	0.9466	0.9517	0.00808	0.6312
Nonomuraea maritima	0.9530	0.9515	0.008113	0.1849
Nonomuraea salmonea	0.9607	0.9514	0.007993	1.164
Nonomuraea thermotolerans	0.9345	0.9520	0.007677	2.280
Nonomuraea zeae	0.9595	0.9514	0.008024	1.009
Nonomuraea fastidiosa	0.9498	0.9516	0.008111	0.2219
Nonomuraea wenchangensis	0.9514	0.9516	0.008116	0.02464
Nonomuraea soli	0.9448	0.9517	0.008048	0.8574
Nonomuraea rubra	0.9447	0.9517	0.008046	0.8700
Nonomuraea maheshkhaliensis	0.9547	0.9515	0.008102	0.3950
Nonomuraea spiralis	0.9519	0.9516	0.008116	0.03696
Nonomuraea polychroma	0.9526	0.9516	0.008115	0.1232
Nonomuraea solani	0.9605	0.9514	0.007999	1.138
Nonomuraea longicatena	0.9454	0.9517	0.00806	0.7816
Nonomuraea purpurea	0.9529	0.9515	0.008114	0.1725
Nonomuraea fuscirosea	0.9536	0.9515	0.00811	0.2589
Nonomuraea syzygii	0.9357	0.9519	0.007738	2.094
Nonomuraea muscovyensis	0.9545	0.9515	0.008104	0.3702
Nonomuraea roseoviolacea subsp. carminata	0.9413	0.9518	0.00796	1.319
Nonomuraea candida	0.9496	0.9516	0.00811	0.2466
Nonomuraea rhodomycinica	0.9421	0.9518	0.007983	1.215
Nonomuraea monospora	0.9374	0.9519	0.007816	1.855
Nonomuraea jiangxiensis	0.9474	0.9517	0.00809	0.5315
Nonomuraea recticatena	0.9527	0.9516	0.008114	0.1356
Nonomuraea africana	0.9404	0.9518	0.007931	1.437
Nonomuraea flavida	0.9427	0.9518	0.00800	1.138
