Noviherbaspirillum massiliense	0.9503	0.9501	0.006668	0.02999
Noviherbaspirillum autotrophicum	0.9523	0.9499	0.006625	0.3623
Noviherbaspirillum aurantiacum	0.9611	0.9489	0.005444	2.241
Noviherbaspirillum denitrificans	0.9454	0.9507	0.006457	0.8208
Noviherbaspirillum canariense	0.9582	0.9492	0.006037	1.491
Noviherbaspirillum malthae	0.9462	0.9506	0.006523	0.6745
Noviherbaspirillum psychrotolerans	0.9495	0.9502	0.006664	0.1050
Noviherbaspirillum soli	0.9543	0.9497	0.006506	0.7070
Noviherbaspirillum suwonense	0.9455	0.9507	0.006466	0.8042
Noviherbaspirillum humi	0.9386	0.9514	0.005294	2.418
