Novosphingobium marinum	0.9224	0.9363	0.006772	2.053
Novosphingobium sediminicola	0.9301	0.9361	0.007055	0.8505
Novosphingobium pentaromativorans	0.9385	0.9358	0.007105	0.3800
Novosphingobium lotistagni	0.9360	0.9359	0.007117	0.01405
Novosphingobium acidiphilum	0.9318	0.9360	0.007086	0.5927
Novosphingobium rosa	0.9366	0.9359	0.007116	0.09837
Novosphingobium oryzae	0.9331	0.9360	0.007103	0.4083
Novosphingobium guangzhouense	0.9470	0.9356	0.006886	1.656
Novosphingobium capsulatum	0.9354	0.9359	0.007117	0.07025
Novosphingobium indicum	0.9342	0.9359	0.007112	0.2390
Novosphingobium hassiacum	0.9397	0.9358	0.007091	0.5500
Novosphingobium aquiterrae	0.9293	0.9361	0.007036	0.9665
Novosphingobium panipatense	0.9379	0.9359	0.00711	0.2813
Novosphingobium tardaugens	0.9321	0.9360	0.00709	0.5501
Novosphingobium kunmingense	0.9354	0.9359	0.007117	0.07025
Novosphingobium subterraneum	0.9452	0.9357	0.006956	1.366
Novosphingobium gossypii	0.9413	0.9358	0.007063	0.7787
Novosphingobium taihuense	0.9417	0.9358	0.007055	0.8363
Novosphingobium soli	0.9473	0.9356	0.006873	1.702
Novosphingobium barchaimii	0.9409	0.9358	0.007071	0.7213
Novosphingobium fuchskuhlense	0.9337	0.9360	0.007108	0.3236
Novosphingobium mathurense	0.9388	0.9358	0.007102	0.4224
Novosphingobium bradum	0.9401	0.9358	0.007085	0.6069
Novosphingobium flavum	0.9393	0.9358	0.007096	0.4932
Novosphingobium lentum	0.9275	0.9361	0.006986	1.231
Novosphingobium naphthalenivorans	0.9458	0.9357	0.006934	1.457
Novosphingobium lindaniclasticum	0.9223	0.9363	0.006767	2.069
Novosphingobium chloroacetimidivorans	0.9386	0.9358	0.007104	0.3941
Novosphingobium fluoreni	0.9306	0.9360	0.007065	0.7643
Novosphingobium stygium	0.9361	0.9359	0.007117	0.02810
Novosphingobium colocasiae	0.9322	0.9360	0.007092	0.5358
Novosphingobium arabidopsis	0.9325	0.9360	0.007096	0.4932
Novosphingobium endophyticum	0.9334	0.9360	0.007106	0.3659
Novosphingobium nitrogenifigens	0.9135	0.9365	0.00612	3.758
Novosphingobium piscinae	0.9346	0.9359	0.007114	0.1827
Novosphingobium naphthae	0.9397	0.9358	0.007091	0.5500
Novosphingobium malaysiense	0.9311	0.9360	0.007075	0.6926
Novosphingobium aquaticum	0.9390	0.9358	0.00710	0.4507
Novosphingobium aromaticivorans	0.9483	0.9356	0.006828	1.860
Novosphingobium rhizosphaerae	0.9432	0.9357	0.007018	1.069
