Ochrobactrum oryzae	0.9386	0.9510	0.01287	0.9635
Ochrobactrum tritici	0.9607	0.9495	0.01293	0.8662
Ochrobactrum thiophenivorans	0.9600	0.9495	0.01297	0.8096
Ochrobactrum grignonense	0.9550	0.9499	0.01317	0.3872
Ochrobactrum pseudintermedium	0.9293	0.9516	0.01201	1.857
Ochrobactrum haematophilum	0.9636	0.9493	0.01274	1.122
Ochrobactrum intermedium	0.9495	0.9502	0.01323	0.05291
Ochrobactrum pecoris	0.9544	0.9499	0.01319	0.3412
Ochrobactrum anthropi	0.9605	0.9495	0.01295	0.8494
Ochrobactrum gallinifaecis	0.9266	0.9518	0.01165	2.163
Ochrobactrum lupini	0.9573	0.9497	0.01310	0.5802
Ochrobactrum pseudogrignonense	0.9520	0.9501	0.01323	0.1436
Ochrobactrum rhizosphaerae	0.9533	0.9500	0.01321	0.2498
Ochrobactrum pituitosum	0.9418	0.9507	0.01304	0.6825
Ochrobactrum cytisi	0.9298	0.9515	0.01207	1.798
Ochrobactrum daejeonense	0.9706	0.9488	0.01206	1.808
